customer_id,customer_name,industry,segment,city,state,region,account_owner_employee_id,credit_rating,signup_date,active_flag
50,Beacon Retail Group,Hospitality,Enterprise,Trenton,NJ,Northeast,188,A,2017-12-30,False
51,Keystone Real Partners,Nonprofit,Enterprise,Hartford,CT,Northeast,483,B,2018-02-21,True
52,Cornerstone Retail Corp,Healthcare,Mid-Market,Pittsburgh,PA,Northeast,61,A,2009-06-26,False
53,Liberty Retail Enterprises,Financial Services,Mid-Market,Rochester,NY,Northeast,292,C,2011-03-25,True
54,Liberty Construction Services,Technology,SMB,Worcester,MA,Northeast,248,A,2018-03-10,True
55,Maple Manufacturing Partners,Financial Services,SMB,Newark,NJ,Northeast,458,A,2015-02-07,True
56,Riverside Hospitality Group,Healthcare,SMB,Rochester,NY,Northeast,358,B,2016-11-01,True
57,Ironwood Real LLC,Construction,SMB,Columbus,OH,Midwest,5,A,2010-07-05,False
58,Summit Legal Group,Financial Services,SMB,Worcester,MA,Northeast,483,B,2012-10-12,True
59,Beacon Government Services,Construction,SMB,Newark,NJ,Northeast,290,A,2015-02-27,True
60,Brightwater Government Associates,Retail,SMB,Syracuse,NY,Northeast,2,A,2014-11-16,True
61,Redwood Healthcare Inc,Real Estate,SMB,New Haven,CT,Northeast,2,C,2013-05-29,True
62,Harbor Education Enterprises,Technology,Mid-Market,Trenton,NJ,Northeast,333,A,2013-09-04,True
63,Evergreen Financial Enterprises,Healthcare,SMB,Columbus,OH,Midwest,116,A,2008-08-27,True
64,Granite Real Enterprises,Technology,Mid-Market,Philadelphia,PA,Northeast,434,A,2009-07-16,True
65,Keystone Real Partners,Retail,Mid-Market,Cleveland,OH,Midwest,252,C,2018-03-04,True
66,Meadowbrook Manufacturing Services,Financial Services,SMB,Worcester,MA,Northeast,370,B,2009-05-28,True
67,Liberty Financial Co,Real Estate,SMB,Providence,RI,Northeast,104,B,2018-05-01,True
68,Hillcrest Education Inc,Manufacturing,Mid-Market,Cleveland,OH,Midwest,121,B,2013-06-29,True
69,Sterling Financial Group,Hospitality,Mid-Market,Syracuse,NY,Northeast,479,C,2017-12-25,True
70,Riverside Construction Co,Education,SMB,Wilmington,DE,Northeast,76,A,2010-10-18,True
71,Evergreen Education Partners,Nonprofit,SMB,Albany,NY,Northeast,84,A,2012-06-09,True
72,Liberty Healthcare Services,Nonprofit,Mid-Market,Hartford,CT,Northeast,116,C,2011-04-27,True
73,Harbor Financial Services,Healthcare,SMB,Albany,NY,Northeast,497,C,2018-11-29,True
74,Riverside Education Enterprises,Retail,Mid-Market,Philadelphia,PA,Northeast,238,A,2016-02-14,True
75,Fairview Nonprofit Solutions,Manufacturing,Mid-Market,Pittsburgh,PA,Northeast,161,A,2010-04-20,True
76,Meadowbrook Financial Partners,Manufacturing,SMB,Boston,MA,Northeast,192,B,2013-10-31,True
77,Evergreen Construction Partners,Government,SMB,Allentown,PA,Northeast,222,B,2008-10-15,True
78,Redwood Financial Co,Hospitality,Mid-Market,Syracuse,NY,Northeast,161,A,2016-07-17,True
79,Hillcrest Real Corp,Financial Services,Mid-Market,Wilmington,DE,Northeast,292,A,2018-11-23,True
80,Granite Hospitality Solutions,Construction,SMB,Buffalo,NY,Northeast,472,B,2014-05-25,False
81,Northstar Real Associates,Hospitality,SMB,Wilmington,DE,Northeast,249,C,2011-02-11,True
82,Beacon Financial Corp,Technology,Mid-Market,Wilmington,DE,Northeast,109,C,2017-07-28,True
83,Whitmore Real Enterprises,Nonprofit,SMB,Cleveland,OH,Midwest,391,B,2017-01-18,True
84,Oakfield Real LLC,Retail,SMB,New Haven,CT,Northeast,354,A,2008-02-23,True
85,Liberty Retail Enterprises,Education,SMB,Worcester,MA,Northeast,238,A,2018-05-23,True
86,Harbor Real Solutions,Healthcare,SMB,Newark,NJ,Northeast,104,C,2010-02-03,True
87,Harbor Construction Co,Real Estate,SMB,Boston,MA,Northeast,238,B,2016-06-21,True
88,Pioneer Legal LLC,Financial Services,Mid-Market,Cleveland,OH,Midwest,121,B,2011-11-22,True
89,Ridgeline Nonprofit Inc,Financial Services,Enterprise,Columbus,OH,Midwest,293,B,2013-07-03,True
90,Brightwater Education Co,Technology,SMB,Columbus,OH,Midwest,184,C,2015-09-25,True
91,Meadowbrook Construction Co,Technology,Mid-Market,Newark,NJ,Northeast,74,A,2015-08-03,True
92,Maple Real Group,Government,Mid-Market,New Haven,CT,Northeast,370,A,2014-05-01,True
93,Hillcrest Nonprofit Associates,Manufacturing,Mid-Market,Albany,NY,Northeast,478,C,2014-07-22,True
94,Liberty Hospitality Partners,Nonprofit,SMB,Rochester,NY,Northeast,18,C,2014-01-29,False
95,Harbor Education Corp,Hospitality,Mid-Market,Worcester,MA,Northeast,458,D,2008-01-29,True
96,Cascade Government Corp,Legal,SMB,Allentown,PA,Northeast,222,A,2008-03-12,True
97,Silverton Legal Corp,Manufacturing,SMB,Albany,NY,Northeast,306,A,2016-10-04,True
98,Summit Construction Services,Manufacturing,Mid-Market,Albany,NY,Northeast,189,A,2014-02-16,True
99,Pioneer Real Co,Healthcare,SMB,Trenton,NJ,Northeast,432,B,2015-11-27,True
100,Fairview Legal Services,Legal,Mid-Market,Syracuse,NY,Northeast,92,D,2017-05-13,True
101,Liberty Manufacturing Solutions,Financial Services,SMB,Worcester,MA,Northeast,422,A,2012-07-08,True
102,Ironwood Real Co,Nonprofit,SMB,Trenton,NJ,Northeast,306,A,2017-09-07,True
103,Riverside Manufacturing Corp,Retail,SMB,Trenton,NJ,Northeast,438,A,2014-09-09,True
104,Redwood Financial Group,Education,SMB,Newark,NJ,Northeast,249,B,2009-06-08,True
105,Pioneer Education Co,Retail,Enterprise,Newark,NJ,Northeast,458,B,2016-08-10,True
106,Maple Manufacturing Partners,Manufacturing,SMB,Newark,NJ,Northeast,64,B,2008-05-19,True
107,Evergreen Government Solutions,Nonprofit,Mid-Market,Philadelphia,PA,Northeast,439,A,2015-02-28,True
108,Harbor Construction Corp,Legal,Mid-Market,Philadelphia,PA,Northeast,497,B,2018-11-27,True
109,Cornerstone Healthcare Solutions,Real Estate,Enterprise,Albany,NY,Northeast,293,B,2015-02-20,False
110,Granite Real Associates,Nonprofit,SMB,Pittsburgh,PA,Northeast,497,A,2016-05-03,False
111,Cornerstone Education Partners,Healthcare,Mid-Market,Philadelphia,PA,Northeast,109,B,2014-03-31,True
112,Ironwood Education Inc,Hospitality,SMB,Allentown,PA,Northeast,422,B,2016-04-20,True
113,Cornerstone Nonprofit LLC,Construction,Mid-Market,Wilmington,DE,Northeast,434,C,2008-02-19,True
114,Northstar Nonprofit Services,Real Estate,SMB,Columbus,OH,Midwest,265,C,2017-02-13,True
115,Ironwood Nonprofit Solutions,Real Estate,Enterprise,Rochester,NY,Northeast,111,B,2010-03-26,True
116,Evergreen Legal Enterprises,Financial Services,SMB,Columbus,OH,Midwest,472,D,2011-09-30,True
117,Riverside Hospitality Partners,Real Estate,SMB,Wilmington,DE,Northeast,92,A,2010-04-09,True
118,Meadowbrook Education Co,Government,Mid-Market,Pittsburgh,PA,Northeast,438,A,2016-09-16,True
119,Redwood Healthcare Services,Healthcare,SMB,Buffalo,NY,Northeast,381,B,2013-05-12,True
120,Beacon Government Corp,Healthcare,Enterprise,Trenton,NJ,Northeast,76,A,2016-05-07,False
121,Whitmore Legal Group,Construction,Mid-Market,Rochester,NY,Northeast,251,A,2018-04-15,True
122,Harbor Real Associates,Hospitality,Enterprise,Columbus,OH,Midwest,333,C,2014-07-26,True
123,Meadowbrook Hospitality Partners,Healthcare,Mid-Market,Albany,NY,Northeast,489,A,2018-01-26,True
124,Maple Retail Enterprises,Technology,SMB,Newark,NJ,Northeast,86,A,2011-06-11,True
125,Whitmore Hospitality Associates,Education,SMB,Philadelphia,PA,Northeast,3,A,2016-07-06,True
126,Liberty Financial Associates,Manufacturing,Mid-Market,Syracuse,NY,Northeast,3,A,2011-11-30,True
127,Maple Government Inc,Education,SMB,Worcester,MA,Northeast,78,B,2016-12-25,True
128,Brightwater Government Enterprises,Healthcare,SMB,Rochester,NY,Northeast,439,A,2009-10-13,True
129,Evergreen Manufacturing Group,Healthcare,SMB,Wilmington,DE,Northeast,357,C,2014-04-09,True
130,Cornerstone Healthcare Associates,Hospitality,SMB,Providence,RI,Northeast,192,A,2012-12-17,True
131,Evergreen Technology Services,Retail,SMB,Albany,NY,Northeast,293,B,2012-02-19,True
132,Maple Education Corp,Education,Mid-Market,Boston,MA,Northeast,384,A,2008-03-16,True
133,Meadowbrook Real Services,Education,Mid-Market,Worcester,MA,Northeast,489,B,2011-10-30,True
134,Sterling Financial Solutions,Retail,SMB,Trenton,NJ,Northeast,251,B,2013-03-03,True
135,Maple Real Partners,Healthcare,Mid-Market,Trenton,NJ,Northeast,222,B,2016-07-13,False
136,Summit Nonprofit Partners,Manufacturing,Mid-Market,Philadelphia,PA,Northeast,94,A,2018-11-01,True
137,Silverton Government Inc,Healthcare,SMB,Allentown,PA,Northeast,192,A,2012-03-07,False
138,Meadowbrook Financial LLC,Education,SMB,Wilmington,DE,Northeast,78,A,2016-09-02,True
139,Silverton Hospitality Group,Construction,Mid-Market,Worcester,MA,Northeast,231,D,2008-12-24,False
140,Evergreen Healthcare Enterprises,Government,Enterprise,Cleveland,OH,Midwest,251,B,2014-05-04,True
141,Pioneer Financial Solutions,Hospitality,Mid-Market,Cleveland,OH,Midwest,174,B,2008-11-14,True
142,Evergreen Retail LLC,Hospitality,Mid-Market,Allentown,PA,Northeast,104,B,2010-09-05,True
143,Ironwood Nonprofit Inc,Hospitality,SMB,Boston,MA,Northeast,422,B,2009-05-05,True
144,Meadowbrook Government Services,Government,SMB,New Haven,CT,Northeast,208,B,2016-12-26,True
145,Ironwood Retail Solutions,Legal,Mid-Market,Worcester,MA,Northeast,189,C,2016-07-21,True
146,Harbor Legal Co,Healthcare,Mid-Market,Providence,RI,Northeast,61,B,2017-11-04,True
147,Redwood Financial Corp,Education,SMB,Syracuse,NY,Northeast,116,A,2018-07-12,True
148,Northstar Nonprofit Partners,Legal,SMB,Pittsburgh,PA,Northeast,422,B,2008-11-03,True
149,Riverside Construction Corp,Construction,SMB,Hartford,CT,Northeast,439,A,2016-08-22,True
150,Ridgeline Real Enterprises,Education,Mid-Market,Wilmington,DE,Northeast,6,D,2017-09-14,True
151,Brightwater Healthcare Associates,Financial Services,SMB,Philadelphia,PA,Northeast,74,B,2014-08-14,True
152,Silverton Manufacturing Group,Healthcare,SMB,Pittsburgh,PA,Northeast,86,A,2011-09-15,True
153,Cornerstone Healthcare Co,Financial Services,SMB,Wilmington,DE,Northeast,39,A,2013-04-01,False
154,Sterling Hospitality LLC,Healthcare,Mid-Market,Worcester,MA,Northeast,290,B,2014-11-17,True
155,Cornerstone Manufacturing Inc,Healthcare,SMB,Newark,NJ,Northeast,231,D,2018-02-20,True
156,Redwood Financial Enterprises,Government,SMB,Boston,MA,Northeast,2,A,2009-10-15,False
157,Granite Retail Services,Real Estate,SMB,Buffalo,NY,Northeast,362,B,2015-03-25,True
158,Northstar Government Corp,Retail,SMB,Providence,RI,Northeast,412,A,2018-03-16,True
159,Pioneer Government Corp,Financial Services,Enterprise,Wilmington,DE,Northeast,6,B,2017-01-17,True
160,Sterling Nonprofit Corp,Hospitality,SMB,Boston,MA,Northeast,472,A,2015-05-25,True
161,Granite Construction Partners,Retail,Enterprise,Buffalo,NY,Northeast,306,B,2010-04-07,True
162,Sterling Manufacturing Enterprises,Real Estate,SMB,Worcester,MA,Northeast,92,A,2010-07-12,True
163,Evergreen Government Associates,Education,SMB,Rochester,NY,Northeast,422,B,2009-09-19,True
164,Cascade Hospitality LLC,Government,SMB,Columbus,OH,Midwest,333,A,2013-03-27,True
165,Granite Hospitality Inc,Legal,Mid-Market,Boston,MA,Northeast,259,B,2008-08-07,True
166,Harbor Legal Services,Manufacturing,Enterprise,Trenton,NJ,Northeast,218,D,2017-08-19,True
167,Meadowbrook Healthcare Solutions,Healthcare,SMB,Boston,MA,Northeast,412,A,2012-07-20,True
168,Meadowbrook Construction Enterprises,Real Estate,SMB,Newark,NJ,Northeast,292,A,2014-07-16,False
169,Cornerstone Manufacturing Services,Education,SMB,Boston,MA,Northeast,78,B,2011-11-12,True
170,Ridgeline Government Corp,Financial Services,SMB,Buffalo,NY,Northeast,439,B,2013-11-01,True
171,Silverton Education LLC,Hospitality,SMB,Syracuse,NY,Northeast,391,C,2016-12-25,True
172,Pioneer Legal Corp,Real Estate,SMB,Hartford,CT,Northeast,188,C,2017-04-23,True
173,Cascade Real Co,Government,SMB,Boston,MA,Northeast,478,A,2012-11-01,True
174,Keystone Real Solutions,Government,SMB,Columbus,OH,Midwest,293,C,2015-07-02,True
175,Meadowbrook Nonprofit Group,Manufacturing,SMB,Hartford,CT,Northeast,438,A,2016-01-04,True
176,Cascade Financial Enterprises,Manufacturing,Mid-Market,Rochester,NY,Northeast,214,A,2014-07-10,True
177,Whitmore Retail Services,Real Estate,Enterprise,Providence,RI,Northeast,379,B,2010-03-30,True
178,Pioneer Healthcare Co,Financial Services,SMB,Worcester,MA,Northeast,39,B,2017-07-25,True
179,Oakfield Manufacturing Associates,Education,SMB,Philadelphia,PA,Northeast,201,B,2013-03-03,True
180,Keystone Healthcare Inc,Manufacturing,SMB,Syracuse,NY,Northeast,492,B,2018-01-29,True
181,Granite Retail Partners,Manufacturing,SMB,Buffalo,NY,Northeast,478,A,2012-08-09,True
182,Granite Real Corp,Construction,SMB,Worcester,MA,Northeast,174,B,2013-03-14,True
183,Northstar Education Solutions,Real Estate,SMB,Wilmington,DE,Northeast,231,D,2014-07-12,True
184,Harbor Government Enterprises,Financial Services,Mid-Market,Hartford,CT,Northeast,189,D,2017-07-10,True
185,Brightwater Construction Associates,Construction,SMB,Newark,NJ,Northeast,358,B,2011-01-12,True
186,Whitmore Real Services,Education,SMB,Pittsburgh,PA,Northeast,488,A,2017-02-08,True
187,Beacon Financial Enterprises,Technology,SMB,Albany,NY,Northeast,252,A,2009-11-01,True
188,Cascade Construction LLC,Nonprofit,SMB,Pittsburgh,PA,Northeast,434,B,2018-02-25,True
189,Liberty Nonprofit Enterprises,Financial Services,SMB,Newark,NJ,Northeast,228,A,2016-11-08,True
190,Granite Education Group,Financial Services,SMB,Boston,MA,Northeast,45,B,2012-11-01,False
191,Riverside Technology LLC,Government,SMB,Trenton,NJ,Northeast,3,A,2011-06-25,True
192,Meadowbrook Financial Corp,Legal,Mid-Market,Cleveland,OH,Midwest,489,A,2009-04-08,True
193,Evergreen Education Associates,Hospitality,Mid-Market,Boston,MA,Northeast,18,A,2010-12-17,True
194,Meadowbrook Retail Services,Nonprofit,Mid-Market,Providence,RI,Northeast,492,B,2012-01-06,True
195,Meadowbrook Hospitality Co,Government,Mid-Market,Boston,MA,Northeast,3,A,2016-01-22,True
196,Maple Government Group,Financial Services,SMB,Allentown,PA,Northeast,3,A,2013-12-10,False
197,Oakfield Retail Co,Financial Services,SMB,Worcester,MA,Northeast,489,C,2008-07-11,True
198,Ironwood Technology Services,Retail,SMB,Syracuse,NY,Northeast,249,C,2015-06-13,True
199,Meadowbrook Technology Co,Hospitality,Mid-Market,Worcester,MA,Northeast,438,A,2013-09-20,False
200,Ironwood Technology Partners,Hospitality,SMB,Cleveland,OH,Midwest,491,B,2012-07-14,True
201,Summit Healthcare Solutions,Construction,SMB,Philadelphia,PA,Northeast,478,A,2009-03-05,True
202,Redwood Legal Associates,Education,SMB,Pittsburgh,PA,Northeast,384,C,2016-10-18,True
203,Brightwater Retail Corp,Government,SMB,Allentown,PA,Northeast,357,B,2012-07-07,True
204,Riverside Government Enterprises,Healthcare,SMB,Hartford,CT,Northeast,205,A,2016-09-18,True
205,Evergreen Real Inc,Legal,Mid-Market,Philadelphia,PA,Northeast,111,C,2013-04-07,False
206,Cornerstone Retail Associates,Construction,Mid-Market,Columbus,OH,Midwest,384,C,2018-09-13,True
207,Northstar Real Inc,Construction,SMB,Syracuse,NY,Northeast,259,A,2018-04-13,True
208,Northstar Legal Services,Technology,SMB,Columbus,OH,Midwest,184,B,2011-11-21,True
209,Keystone Education Associates,Nonprofit,SMB,Trenton,NJ,Northeast,251,C,2018-09-21,True
210,Summit Hospitality LLC,Hospitality,SMB,Providence,RI,Northeast,189,C,2013-01-30,True
211,Silverton Financial Solutions,Technology,SMB,Boston,MA,Northeast,18,B,2009-11-15,False
212,Beacon Legal Services,Government,Enterprise,Syracuse,NY,Northeast,358,B,2013-04-23,True
213,Beacon Financial Solutions,Technology,Enterprise,Columbus,OH,Midwest,381,A,2011-10-02,True
214,Fairview Retail Co,Government,SMB,Allentown,PA,Northeast,439,B,2018-07-12,True
215,Liberty Real Enterprises,Hospitality,Mid-Market,Newark,NJ,Northeast,86,C,2017-01-28,False
216,Whitmore Nonprofit Co,Retail,SMB,Hartford,CT,Northeast,61,C,2016-07-24,True
217,Oakfield Healthcare Co,Financial Services,SMB,Cleveland,OH,Midwest,92,C,2011-02-04,True
218,Granite Education Associates,Legal,SMB,New Haven,CT,Northeast,222,A,2012-04-06,True
219,Fairview Nonprofit Associates,Real Estate,SMB,Rochester,NY,Northeast,121,B,2010-10-21,True
220,Evergreen Retail Enterprises,Healthcare,Mid-Market,New Haven,CT,Northeast,248,A,2010-09-13,True
221,Ridgeline Healthcare Corp,Technology,Mid-Market,Albany,NY,Northeast,254,A,2016-02-16,False
222,Cascade Government Co,Real Estate,SMB,Hartford,CT,Northeast,109,B,2013-04-30,True
223,Granite Legal Co,Government,SMB,Providence,RI,Northeast,5,A,2017-06-02,True
224,Meadowbrook Healthcare Services,Financial Services,SMB,New Haven,CT,Northeast,420,A,2018-11-10,True
225,Meadowbrook Government Group,Healthcare,SMB,Boston,MA,Northeast,439,C,2018-06-23,False
226,Redwood Hospitality Partners,Financial Services,SMB,New Haven,CT,Northeast,379,C,2015-10-29,True
227,Summit Real Associates,Legal,SMB,Columbus,OH,Midwest,188,A,2011-09-29,True
228,Harbor Hospitality Inc,Manufacturing,SMB,Cleveland,OH,Midwest,191,D,2011-10-26,True
229,Harbor Healthcare Services,Technology,Mid-Market,Albany,NY,Northeast,497,A,2017-02-13,True
230,Silverton Education Corp,Retail,SMB,Syracuse,NY,Northeast,64,B,2008-09-25,True
231,Sterling Nonprofit Associates,Construction,SMB,Boston,MA,Northeast,304,C,2008-05-17,True
232,Northstar Real Services,Healthcare,Mid-Market,Trenton,NJ,Northeast,391,B,2016-12-25,True
233,Maple Construction Services,Education,SMB,Newark,NJ,Northeast,121,B,2008-02-04,True
234,Summit Legal Partners,Education,Mid-Market,Cleveland,OH,Midwest,354,B,2014-01-27,True
235,Cornerstone Healthcare Inc,Construction,SMB,Boston,MA,Northeast,84,C,2014-08-08,True
236,Fairview Nonprofit Co,Healthcare,Mid-Market,Worcester,MA,Northeast,290,A,2008-04-30,True
237,Liberty Government Services,Hospitality,SMB,Albany,NY,Northeast,45,B,2010-08-17,True
238,Silverton Manufacturing Services,Hospitality,SMB,Buffalo,NY,Northeast,491,A,2018-05-29,True
239,Cascade Nonprofit Associates,Construction,Mid-Market,Albany,NY,Northeast,238,B,2015-06-23,False
240,Summit Retail Associates,Manufacturing,SMB,Cleveland,OH,Midwest,479,A,2017-10-31,True
241,Keystone Retail Associates,Hospitality,SMB,Allentown,PA,Northeast,492,A,2015-01-21,True
242,Beacon Legal Corp,Education,Mid-Market,Pittsburgh,PA,Northeast,238,A,2016-05-13,True
243,Cascade Nonprofit Services,Manufacturing,SMB,Worcester,MA,Northeast,358,D,2011-01-19,True
244,Summit Construction Corp,Real Estate,SMB,Rochester,NY,Northeast,492,A,2012-10-17,True
245,Fairview Financial Enterprises,Nonprofit,Mid-Market,Worcester,MA,Northeast,78,B,2015-08-16,True
246,Oakfield Government LLC,Retail,SMB,Rochester,NY,Northeast,290,B,2009-11-10,True
247,Keystone Construction Enterprises,Financial Services,Mid-Market,Buffalo,NY,Northeast,391,B,2008-04-03,True
248,Keystone Legal Associates,Retail,SMB,Columbus,OH,Midwest,491,A,2009-06-12,True
249,Hillcrest Technology LLC,Construction,SMB,Cleveland,OH,Midwest,188,B,2014-03-13,True
250,Ridgeline Real Enterprises,Hospitality,Mid-Market,Wilmington,DE,Northeast,381,C,2014-12-13,True
251,Harbor Healthcare Solutions,Retail,Mid-Market,Pittsburgh,PA,Northeast,161,B,2008-05-05,True
252,Meadowbrook Financial Group,Financial Services,SMB,Trenton,NJ,Northeast,260,B,2013-09-29,True
253,Cornerstone Technology Associates,Financial Services,Mid-Market,Buffalo,NY,Northeast,64,B,2011-12-24,True
254,Oakfield Retail Group,Government,SMB,Newark,NJ,Northeast,76,A,2014-12-11,True
255,Cornerstone Real Solutions,Education,SMB,Wilmington,DE,Northeast,357,A,2018-05-06,True
256,Evergreen Healthcare Corp,Education,SMB,Philadelphia,PA,Northeast,189,D,2014-03-16,True
257,Maple Legal LLC,Legal,SMB,Buffalo,NY,Northeast,432,C,2015-07-21,True
258,Cascade Real LLC,Construction,Mid-Market,Boston,MA,Northeast,64,B,2014-06-29,True
259,Liberty Hospitality Corp,Healthcare,SMB,Rochester,NY,Northeast,45,B,2008-12-16,True
260,Sterling Technology Services,Government,Mid-Market,Hartford,CT,Northeast,357,A,2011-05-21,False
261,Pioneer Government Services,Education,SMB,Philadelphia,PA,Northeast,64,A,2011-09-30,False
262,Fairview Hospitality Services,Nonprofit,SMB,Wilmington,DE,Northeast,188,D,2015-03-16,True
263,Hillcrest Government Inc,Nonprofit,Mid-Market,Trenton,NJ,Northeast,370,B,2013-12-30,True
264,Cornerstone Nonprofit Solutions,Hospitality,SMB,Cleveland,OH,Midwest,214,B,2014-10-05,True
265,Northstar Nonprofit Services,Nonprofit,SMB,Worcester,MA,Northeast,189,B,2008-04-18,True
266,Oakfield Nonprofit Corp,Legal,SMB,Pittsburgh,PA,Northeast,39,C,2014-02-24,True
267,Ridgeline Real Corp,Education,SMB,Boston,MA,Northeast,86,A,2009-02-15,True
268,Keystone Manufacturing Co,Financial Services,SMB,Allentown,PA,Northeast,381,B,2016-11-23,False
269,Maple Manufacturing Solutions,Education,SMB,Buffalo,NY,Northeast,292,B,2010-03-07,True
270,Northstar Healthcare Enterprises,Construction,SMB,Hartford,CT,Northeast,201,B,2009-04-21,False
271,Hillcrest Healthcare Group,Education,SMB,Trenton,NJ,Northeast,104,C,2011-12-25,True
272,Evergreen Legal Inc,Real Estate,SMB,Philadelphia,PA,Northeast,205,A,2012-08-03,True
273,Oakfield Financial Corp,Nonprofit,SMB,Philadelphia,PA,Northeast,479,B,2014-12-18,True
274,Sterling Manufacturing Enterprises,Financial Services,Enterprise,Pittsburgh,PA,Northeast,438,C,2015-06-02,True
275,Ironwood Retail LLC,Healthcare,Mid-Market,Syracuse,NY,Northeast,265,A,2015-12-17,True
