ORDER_NO,CUST_ID,BRANCH,ORDER_DT,SHIP_DT,STATUS,AMT
ORD0054771,1462,1,09/10/2022,09/11/2022,FULFILLED,$558.58
ORD0017898,212,1,09/14/2022,09/16/2022,RETURNED,$340.58
ORD0035136,2274,10,08/31/2019,09/02/2019,FULFILLED,"$1,057.56"
ORD0071979,1369,9,04/24/2023,04/26/2023,FULFILLED,$351.61
ORD0037288,1088,9,01/17/2022,01/18/2022,FULFILLED,$509.87
ORD0031471,1827,8,11/18/2020,11/19/2020,FULFILLED,$728.57
ORD0005904,2430,8,11/15/2022,11/16/2022,FULFILLED,"$1,159.78"
ORD0021726,2402,8,06/20/2022,06/23/2022,FULFILLED,"$4,533.71"
ORD0000536,2045,9,12/21/2022,12/23/2022,FULFILLED,$299.60
ORD0064163,193,6,11/10/2020,11/11/2020,FULFILLED,$218.08
ORD0008596,1024,5,05/16/2019,05/19/2019,FULFILLED,"$1,323.26"
ORD0050898,900,9,11/29/2021,12/04/2021,FULFILLED,$738.71
ORD0054905,377,7,09/16/2022,09/18/2022,FULFILLED,"$2,158.80"
ORD0037351,1068,8,04/15/2019,04/19/2019,FULFILLED,$482.52
ORD0063951,2150,5,06/04/2020,06/08/2020,FULFILLED,"$1,329.55"
ORD0024942,2201,6,09/15/2021,09/19/2021,FULFILLED,"$1,565.31"
ORD0030265,505,4,10/25/2023,10/27/2023,FULFILLED,$409.94
ORD0038102,2222,5,06/22/2022,06/26/2022,FULFILLED,"$1,845.73"
ORD0037036,898,9,09/22/2021,09/23/2021,FULFILLED,$791.52
ORD0035111,684,1,11/02/2020,11/07/2020,FULFILLED,$277.00
ORD0039116,1412,3,02/05/2021,02/08/2021,FULFILLED,$321.98
ORD0053887,307,6,04/28/2022,04/30/2022,FULFILLED,$794.31
ORD0033199,982,4,09/13/2021,09/14/2021,FULFILLED,$863.15
ORD0001221,2231,1,12/20/2020,12/22/2020,FULFILLED,"$1,193.60"
ORD0053345,2497,1,06/28/2022,06/30/2022,FULFILLED,$797.09
ORD0068233,2339,1,01/17/2019,01/20/2019,FULFILLED,$109.12
ORD0054428,617,4,01/28/2021,01/30/2021,FULFILLED,$180.18
ORD0017027,1434,1,03/01/2020,03/03/2020,FULFILLED,$241.67
ORD0031225,528,1,07/02/2020,07/07/2020,FULFILLED,"$1,678.14"
ORD0067303,195,4,12/29/2022,01/03/2023,FULFILLED,$994.49
ORD0002626,321,1,03/31/2021,04/03/2021,FULFILLED,$490.29
ORD0011507,2230,4,11/23/2020,11/24/2020,RETURNED,$793.80
ORD0039990,445,8,08/18/2019,08/22/2019,FULFILLED,"$1,302.84"
ORD0063041,466,1,12/07/2023,12/10/2023,FULFILLED,$253.66
ORD0031986,1538,6,05/02/2023,05/06/2023,FULFILLED,$415.73
ORD0058118,98,1,07/11/2022,07/14/2022,FULFILLED,"$1,923.92"
ORD0013059,776,10,04/09/2019,04/14/2019,FULFILLED,$282.05
ORD0055677,621,2,03/27/2020,04/01/2020,FULFILLED,$573.71
ORD0011790,2105,8,11/29/2022,12/01/2022,FULFILLED,"$1,597.50"
ORD0053890,2337,3,06/09/2022,06/11/2022,FULFILLED,$389.21
ORD0060663,710,2,01/21/2019,01/24/2019,FULFILLED,$206.58
ORD0017000,1137,6,06/21/2023,06/24/2023,FULFILLED,$762.38
ORD0065233,957,4,06/25/2019,06/29/2019,FULFILLED,"$1,118.45"
ORD0056082,326,2,11/13/2019,11/14/2019,FULFILLED,$852.64
ORD0052278,1078,5,10/27/2019,11/01/2019,FULFILLED,$741.63
ORD0046131,1367,1,01/05/2023,01/10/2023,FULFILLED,$833.58
ORD0046504,2461,3,03/22/2019,03/23/2019,FULFILLED,$401.70
ORD0056986,2446,4,12/17/2021,12/19/2021,FULFILLED,$320.62
ORD0035742,2050,1,12/06/2021,12/07/2021,FULFILLED,$735.12
ORD0062975,296,4,04/18/2022,04/19/2022,FULFILLED,"$1,793.51"
ORD0009368,2098,9,02/19/2019,02/22/2019,FULFILLED,$348.03
ORD0037496,242,10,10/31/2021,11/05/2021,FULFILLED,"$1,968.20"
ORD0069512,750,8,10/05/2023,10/10/2023,FULFILLED,$812.48
ORD0054882,294,4,05/17/2021,05/22/2021,FULFILLED,$408.14
ORD0049046,1655,9,01/01/2020,01/03/2020,FULFILLED,"$3,158.46"
ORD0066356,1623,2,02/13/2019,02/18/2019,FULFILLED,$693.74
ORD0016013,1079,6,10/23/2020,10/28/2020,FULFILLED,$734.25
ORD0025138,555,3,07/10/2019,07/12/2019,FULFILLED,$394.17
ORD0018479,1921,2,03/22/2019,03/24/2019,FULFILLED,$309.39
ORD0055090,404,1,11/16/2020,11/17/2020,FULFILLED,"$2,020.14"
ORD0007720,1186,5,01/04/2023,01/08/2023,FULFILLED,$301.51
ORD0022820,919,1,10/20/2023,10/25/2023,FULFILLED,$145.23
ORD0070489,2417,10,01/26/2023,01/29/2023,FULFILLED,$641.04
ORD0055867,1276,1,01/01/2021,01/02/2021,FULFILLED,$175.20
ORD0063655,550,6,05/10/2021,05/12/2021,FULFILLED,"$3,584.26"
ORD0067248,456,3,08/21/2021,08/26/2021,FULFILLED,"$1,837.55"
ORD0066224,716,3,10/25/2022,10/27/2022,FULFILLED,$389.89
ORD0064606,310,4,12/05/2020,12/07/2020,FULFILLED,$540.52
ORD0031829,2283,1,12/05/2022,12/07/2022,RETURNED,$870.64
ORD0027903,1445,3,10/10/2023,10/14/2023,FULFILLED,"$1,499.00"
ORD0007119,679,5,09/03/2020,,CANCELLED,$146.74
ORD0002443,53,1,05/29/2023,05/31/2023,FULFILLED,$486.57
ORD0016585,973,9,12/21/2023,12/23/2023,FULFILLED,"$3,093.47"
ORD0017392,862,1,11/11/2021,11/12/2021,FULFILLED,$554.88
ORD0069146,2286,4,01/12/2021,01/17/2021,FULFILLED,"$1,255.57"
ORD0050486,1723,5,04/08/2022,04/11/2022,FULFILLED,$208.00
ORD0065947,1532,6,11/14/2019,11/17/2019,FULFILLED,$503.40
ORD0013157,272,6,06/09/2019,06/10/2019,FULFILLED,$84.00
ORD0004116,2461,3,05/16/2019,05/19/2019,FULFILLED,$471.81
ORD0028544,2112,5,08/20/2019,08/21/2019,FULFILLED,$343.36
ORD0069886,2194,1,05/04/2022,05/05/2022,FULFILLED,$99.57
ORD0045836,2080,2,02/10/2020,02/13/2020,FULFILLED,$471.32
ORD0022855,1627,3,12/08/2023,12/10/2023,FULFILLED,$623.80
ORD0069743,1618,7,05/11/2023,05/13/2023,FULFILLED,"$1,301.06"
ORD0036543,1793,2,05/15/2020,05/17/2020,FULFILLED,"$1,525.53"
ORD0026495,2423,3,12/27/2020,12/29/2020,FULFILLED,$11.58
ORD0003829,983,3,01/13/2022,01/14/2022,FULFILLED,$967.72
ORD0039361,2076,8,08/25/2022,08/28/2022,FULFILLED,"$1,697.94"
ORD0019280,214,1,02/03/2021,02/06/2021,RETURNED,$215.55
ORD0013723,1830,1,08/26/2019,08/31/2019,FULFILLED,$415.79
ORD0002513,529,4,09/05/2023,,CANCELLED,"$1,732.21"
ORD0013267,1027,4,04/26/2023,05/01/2023,FULFILLED,$119.04
ORD0017665,1735,1,04/04/2022,04/08/2022,FULFILLED,$275.94
ORD0050500,1945,1,04/06/2023,04/10/2023,FULFILLED,"$1,724.86"
ORD0067317,56,6,09/14/2019,09/18/2019,FULFILLED,$378.46
ORD0067136,1867,5,10/18/2021,10/22/2021,FULFILLED,$487.99
ORD0044465,1559,6,12/09/2019,12/13/2019,FULFILLED,$122.00
ORD0048554,175,1,06/09/2021,06/11/2021,FULFILLED,"$1,077.18"
ORD0042995,653,1,11/14/2022,11/17/2022,FULFILLED,$956.73
ORD0065965,1070,6,10/12/2021,10/15/2021,FULFILLED,"$1,418.00"
ORD0058289,590,5,01/05/2021,01/10/2021,FULFILLED,"$4,106.41"
ORD0029774,2121,10,09/15/2023,09/20/2023,FULFILLED,$806.37
ORD0030287,740,4,11/29/2023,12/02/2023,FULFILLED,$765.11
ORD0049754,1274,3,06/18/2020,06/23/2020,FULFILLED,"$1,223.25"
ORD0067163,1744,8,05/12/2020,05/17/2020,FULFILLED,"$1,090.43"
ORD0013518,2115,8,03/29/2021,03/30/2021,FULFILLED,$890.03
ORD0042977,1081,8,09/10/2020,09/14/2020,FULFILLED,$547.42
ORD0024446,813,6,04/23/2022,04/25/2022,FULFILLED,"$1,144.91"
ORD0017574,1657,3,10/20/2021,10/23/2021,FULFILLED,"$1,953.30"
ORD0040025,948,5,04/27/2020,04/29/2020,FULFILLED,"$1,652.15"
ORD0044967,892,6,05/13/2023,05/18/2023,FULFILLED,$508.27
ORD0030275,1230,4,07/07/2021,07/09/2021,FULFILLED,$407.71
ORD0020494,1297,1,12/02/2022,12/07/2022,FULFILLED,"$2,779.26"
ORD0049748,300,4,11/03/2022,11/07/2022,FULFILLED,$150.80
ORD0034515,257,8,01/13/2022,01/15/2022,FULFILLED,$288.17
ORD0005985,948,8,03/09/2022,03/11/2022,FULFILLED,$134.90
ORD0052109,880,1,03/29/2022,03/31/2022,FULFILLED,"$1,221.95"
ORD0030231,2389,1,06/15/2023,06/20/2023,FULFILLED,$470.05
ORD0037986,1131,1,09/17/2020,09/20/2020,FULFILLED,$625.27
ORD0043655,2243,4,06/05/2023,06/08/2023,FULFILLED,$300.79
ORD0013594,388,4,06/20/2022,06/22/2022,FULFILLED,$982.26
ORD0063699,2476,2,07/29/2020,08/01/2020,FULFILLED,$38.01
ORD0000966,201,9,11/05/2021,11/06/2021,FULFILLED,$52.30
ORD0022882,2256,1,11/18/2022,11/21/2022,FULFILLED,"$1,456.88"
ORD0017759,313,8,02/07/2023,02/09/2023,FULFILLED,$327.08
ORD0024308,2107,6,10/14/2022,10/18/2022,FULFILLED,$353.56
ORD0030811,763,4,01/03/2020,01/04/2020,FULFILLED,$123.60
ORD0039731,602,4,11/23/2023,11/28/2023,RETURNED,"$1,210.08"
ORD0017148,2293,7,12/15/2020,12/17/2020,FULFILLED,$230.76
ORD0064006,2115,1,01/10/2021,01/14/2021,FULFILLED,"$1,356.44"
ORD0029974,1455,1,11/16/2022,11/21/2022,FULFILLED,"$1,648.96"
ORD0064017,610,10,08/12/2020,08/15/2020,FULFILLED,"$2,329.14"
ORD0040014,897,3,11/20/2023,11/23/2023,FULFILLED,$620.04
ORD0009837,934,3,08/13/2020,08/14/2020,FULFILLED,"$1,485.02"
ORD0064482,2097,1,12/23/2022,12/25/2022,FULFILLED,$301.30
ORD0020177,532,1,05/24/2022,05/27/2022,FULFILLED,$184.50
ORD0069680,1385,3,11/04/2022,11/08/2022,FULFILLED,"$1,074.03"
ORD0008839,480,3,03/17/2022,03/19/2022,FULFILLED,$251.25
ORD0010889,700,7,07/12/2023,07/15/2023,FULFILLED,"$1,790.42"
ORD0068470,446,5,02/12/2023,02/15/2023,FULFILLED,$805.52
ORD0035749,493,6,02/04/2020,02/06/2020,FULFILLED,"$1,466.98"
ORD0071409,1182,1,12/01/2023,12/06/2023,FULFILLED,"$2,678.85"
ORD0007475,2393,1,10/29/2021,11/01/2021,FULFILLED,$740.08
ORD0070046,2192,1,11/16/2020,11/20/2020,FULFILLED,$420.96
ORD0013714,893,1,11/02/2023,11/06/2023,FULFILLED,$335.60
ORD0007107,1762,1,10/08/2021,10/12/2021,FULFILLED,"$1,080.91"
ORD0056874,1299,1,06/11/2021,06/16/2021,FULFILLED,$824.76
ORD0030216,1020,6,03/05/2019,03/07/2019,FULFILLED,$141.47
ORD0023919,496,8,05/21/2019,05/26/2019,FULFILLED,"$1,146.99"
ORD0006156,1857,1,07/18/2022,07/19/2022,FULFILLED,"$1,247.85"
ORD0017608,2140,6,08/13/2019,08/17/2019,FULFILLED,$797.88
ORD0042828,335,8,10/26/2023,10/30/2023,FULFILLED,$137.48
ORD0049881,1915,10,03/01/2021,03/04/2021,FULFILLED,$819.23
ORD0020782,313,7,05/10/2023,05/13/2023,FULFILLED,"$1,072.44"
ORD0009911,1908,5,09/09/2020,09/10/2020,FULFILLED,$109.61
ORD0004395,1631,4,06/04/2019,06/08/2019,FULFILLED,$14.52
ORD0033147,1949,4,08/02/2019,08/07/2019,FULFILLED,"$1,018.40"
ORD0022737,1890,6,12/06/2019,12/08/2019,FULFILLED,$111.01
ORD0011754,763,1,10/04/2021,10/06/2021,FULFILLED,"$1,055.40"
ORD0036704,2453,5,01/06/2020,01/09/2020,FULFILLED,$206.30
ORD0001921,1128,1,03/03/2020,03/08/2020,FULFILLED,"$1,026.91"
ORD0005323,1193,1,03/17/2023,03/21/2023,FULFILLED,$223.00
ORD0071787,463,7,09/27/2022,10/02/2022,FULFILLED,$254.82
ORD0000731,1230,7,10/27/2023,11/01/2023,FULFILLED,"$1,151.16"
ORD0058209,2476,1,04/22/2019,04/23/2019,FULFILLED,$756.67
ORD0016104,308,5,11/11/2022,11/15/2022,FULFILLED,$668.68
ORD0060525,1870,7,04/08/2021,04/12/2021,RETURNED,$753.13
ORD0020525,1096,1,10/19/2021,10/20/2021,FULFILLED,$731.59
ORD0015369,662,5,11/07/2023,11/09/2023,FULFILLED,"$1,321.93"
ORD0017078,1178,10,05/24/2022,05/26/2022,FULFILLED,"$1,124.45"
ORD0057257,2218,10,05/29/2022,05/31/2022,FULFILLED,$314.16
ORD0046327,1173,9,08/08/2023,08/09/2023,FULFILLED,$342.21
ORD0007534,1875,5,06/16/2022,,CANCELLED,$784.70
ORD0014458,537,9,07/12/2021,07/17/2021,FULFILLED,"$1,977.87"
ORD0016873,2361,5,04/12/2021,04/15/2021,FULFILLED,"$1,315.28"
ORD0011969,1640,10,08/27/2019,08/29/2019,RETURNED,"$1,151.45"
ORD0064714,1672,1,07/15/2022,07/19/2022,FULFILLED,$796.63
ORD0012161,523,5,09/15/2021,09/18/2021,FULFILLED,"$1,700.96"
ORD0064611,1509,9,07/20/2020,07/25/2020,FULFILLED,$750.33
ORD0066271,1211,1,10/07/2022,10/09/2022,FULFILLED,$474.23
ORD0052846,605,9,01/19/2019,01/20/2019,FULFILLED,$141.14
ORD0043557,1772,9,01/13/2020,01/17/2020,FULFILLED,$185.36
ORD0010818,2238,8,12/31/2021,01/03/2022,FULFILLED,$192.90
ORD0066221,1309,5,11/09/2023,11/14/2023,FULFILLED,"$4,230.59"
ORD0067500,1182,1,12/09/2022,12/13/2022,FULFILLED,$859.61
ORD0051649,315,5,11/04/2019,11/09/2019,FULFILLED,$253.25
ORD0004828,931,10,02/01/2019,02/02/2019,FULFILLED,"$2,494.01"
ORD0040095,1811,3,12/15/2022,12/20/2022,FULFILLED,$996.55
ORD0026001,1463,7,08/09/2019,08/10/2019,FULFILLED,$185.39
ORD0020812,975,5,08/08/2021,08/12/2021,FULFILLED,"$1,913.54"
ORD0032680,2109,6,12/27/2023,12/31/2023,FULFILLED,$961.26
ORD0007006,235,3,10/15/2020,10/17/2020,FULFILLED,$321.91
ORD0067925,1325,5,02/05/2020,02/10/2020,FULFILLED,$810.85
ORD0020732,281,4,04/09/2020,04/12/2020,FULFILLED,$502.48
ORD0047626,200,8,05/20/2020,05/22/2020,FULFILLED,$876.81
ORD0008439,1121,1,05/11/2023,05/13/2023,FULFILLED,$879.07
ORD0043918,1667,6,09/05/2020,09/09/2020,FULFILLED,$153.90
ORD0051964,1503,10,08/04/2020,08/07/2020,FULFILLED,$249.48
ORD0023993,1218,9,07/09/2020,07/14/2020,FULFILLED,$536.79
ORD0001233,1307,1,08/29/2022,09/01/2022,FULFILLED,$388.54
ORD0049238,1982,9,05/16/2023,05/19/2023,FULFILLED,$96.80
ORD0028728,1173,4,08/11/2020,08/16/2020,FULFILLED,$56.45
ORD0006992,1030,7,08/16/2022,08/19/2022,FULFILLED,$455.45
ORD0032339,2049,3,05/23/2021,05/26/2021,FULFILLED,$892.74
ORD0071629,1002,1,03/25/2021,03/30/2021,FULFILLED,"$1,825.27"
ORD0005374,420,3,01/03/2023,01/05/2023,FULFILLED,$446.80
ORD0032755,802,5,06/06/2022,06/10/2022,FULFILLED,$633.77
ORD0060009,2234,4,02/08/2021,02/13/2021,FULFILLED,$66.88
ORD0008991,2036,1,12/13/2021,12/18/2021,FULFILLED,"$1,181.22"
ORD0061436,2414,1,10/04/2020,10/07/2020,FULFILLED,"$1,667.13"
ORD0037473,1683,10,04/27/2023,05/01/2023,FULFILLED,"$1,030.61"
ORD0066066,1846,7,03/02/2022,03/06/2022,FULFILLED,"$1,019.74"
ORD0020374,2279,1,01/31/2021,02/02/2021,FULFILLED,"$1,586.35"
ORD0025659,744,6,03/24/2023,03/28/2023,FULFILLED,$416.67
ORD0037760,2279,6,02/11/2023,02/13/2023,FULFILLED,$274.34
ORD0023199,1244,1,12/14/2021,12/18/2021,FULFILLED,"$1,071.21"
ORD0032826,2452,1,02/10/2023,02/11/2023,FULFILLED,$124.60
ORD0063113,2317,7,02/02/2022,02/05/2022,FULFILLED,"$1,739.23"
ORD0034821,1220,4,03/10/2023,03/14/2023,RETURNED,"$2,314.03"
ORD0016377,1408,1,08/23/2022,08/25/2022,FULFILLED,$424.16
ORD0026909,935,1,10/16/2020,10/17/2020,FULFILLED,$131.92
ORD0067385,611,1,04/04/2023,04/08/2023,FULFILLED,$790.12
ORD0040177,525,10,05/01/2023,05/06/2023,FULFILLED,"$1,194.92"
ORD0038596,2241,2,07/03/2019,07/05/2019,FULFILLED,"$1,161.00"
ORD0044516,1897,5,03/25/2022,03/29/2022,FULFILLED,$149.55
ORD0052439,151,6,12/02/2023,12/05/2023,FULFILLED,$262.42
ORD0005895,1216,4,09/02/2021,09/04/2021,FULFILLED,$210.84
ORD0005150,1803,9,12/02/2021,12/04/2021,FULFILLED,$540.40
ORD0035109,1624,1,08/25/2023,08/29/2023,FULFILLED,$667.59
ORD0069220,504,10,10/17/2023,10/18/2023,FULFILLED,$822.39
ORD0010911,1056,10,11/06/2023,11/08/2023,FULFILLED,$552.41
ORD0021940,1410,9,01/05/2023,01/09/2023,FULFILLED,$231.07
ORD0071062,763,7,03/28/2022,03/30/2022,FULFILLED,$679.20
ORD0029319,704,1,10/17/2019,10/19/2019,FULFILLED,$59.73
ORD0043910,2160,1,02/11/2023,02/14/2023,FULFILLED,"$1,254.86"
ORD0013164,1892,1,09/16/2022,09/20/2022,FULFILLED,$386.76
ORD0069978,184,1,08/12/2022,08/16/2022,FULFILLED,"$1,215.91"
ORD0009279,1490,7,11/08/2019,11/10/2019,FULFILLED,$334.68
ORD0046118,642,4,01/14/2021,01/15/2021,FULFILLED,"$1,090.55"
ORD0066975,1746,1,09/23/2019,09/26/2019,FULFILLED,"$1,169.89"
ORD0062928,2072,7,02/01/2022,02/02/2022,FULFILLED,"$1,344.04"
ORD0047936,1416,9,04/30/2021,05/04/2021,FULFILLED,"$1,502.17"
ORD0010994,258,5,04/26/2021,04/30/2021,FULFILLED,$852.18
ORD0032619,2405,1,08/30/2023,08/31/2023,FULFILLED,"$1,478.31"
ORD0045524,1108,8,01/09/2021,01/11/2021,FULFILLED,"$1,099.36"
ORD0067021,1566,5,05/26/2023,05/31/2023,RETURNED,$33.24
ORD0052647,1824,4,10/24/2019,10/27/2019,FULFILLED,$907.99
ORD0008981,1677,6,08/27/2020,08/28/2020,FULFILLED,$530.21
ORD0054872,1581,4,03/11/2020,03/16/2020,FULFILLED,$71.20
ORD0068602,1048,1,06/02/2022,06/06/2022,FULFILLED,"$2,230.57"
