event_id,machine_id,event_date,event_type,failure_mode,downtime_hours,repair_cost
280,4,2021-04-25,Failure,Bearing wear,4.9,9762.04
281,4,2021-05-20,Preventive,,2.1,556.81
282,4,2021-06-01,Failure,Bearing wear,0.5,4430.22
283,4,2021-06-18,Preventive,,3.8,527.0
284,4,2021-06-26,Failure,Web break,6.4,783.73
285,4,2021-07-18,Preventive,,3.2,349.79
286,4,2021-08-13,Preventive,,2.2,663.02
287,4,2021-09-11,Preventive,,1.7,817.78
288,4,2021-10-15,Preventive,,2.7,402.09
289,4,2021-10-21,Failure,Web break,6.7,3324.33
290,4,2021-10-24,Failure,Roller misalignment,2.2,2256.02
291,4,2021-11-06,Failure,Web break,4.2,201.56
292,4,2021-11-10,Preventive,,2.7,367.37
293,4,2021-12-07,Preventive,,2.0,552.13
294,4,2021-12-24,Failure,Roller misalignment,2.2,2893.43
295,4,2022-01-08,Preventive,,2.5,811.0
296,4,2022-01-13,Failure,Blade dull,1.8,2088.98
297,4,2022-02-04,Preventive,,2.2,636.96
298,4,2022-03-02,Preventive,,2.6,778.07
299,4,2022-04-05,Preventive,,1.2,730.95
300,4,2022-05-08,Preventive,,3.1,771.54
301,4,2022-06-07,Preventive,,1.3,508.71
302,4,2022-07-09,Preventive,,3.4,324.05
303,4,2022-08-05,Preventive,,1.4,501.75
304,4,2022-09-01,Preventive,,3.1,545.05
305,4,2022-09-27,Preventive,,3.1,721.42
306,4,2022-10-23,Preventive,,2.0,238.9
307,4,2022-11-22,Failure,Motor overheat,6.5,526.61
308,4,2022-11-23,Preventive,,2.2,250.37
309,4,2022-12-24,Preventive,,1.4,767.15
310,4,2023-01-23,Preventive,,3.4,293.79
311,4,2023-02-26,Preventive,,2.0,671.6
312,4,2023-03-30,Preventive,,3.2,202.6
313,4,2023-05-03,Preventive,,2.5,886.71
314,4,2023-06-02,Preventive,,3.6,666.69
315,4,2023-06-29,Preventive,,1.2,261.88
316,4,2023-07-28,Preventive,,1.4,229.22
317,4,2023-08-24,Preventive,,4.0,391.33
318,4,2023-09-24,Preventive,,2.7,551.03
319,4,2023-10-20,Preventive,,2.8,277.57
320,4,2023-11-17,Preventive,,3.9,389.2
321,4,2023-12-13,Preventive,,2.8,641.86
322,5,2019-01-26,Preventive,,3.7,344.09
323,5,2019-02-23,Preventive,,3.8,644.23
324,5,2019-03-20,Failure,Hydraulic leak,2.7,3046.54
325,5,2019-03-21,Failure,Control fault,2.7,1637.33
326,5,2019-03-23,Preventive,,1.4,523.97
327,5,2019-04-23,Preventive,,2.1,743.15
328,5,2019-05-27,Preventive,,3.1,466.25
329,5,2019-06-26,Preventive,,1.1,261.58
330,5,2019-07-26,Preventive,,2.6,875.07
331,5,2019-07-29,Failure,Roller misalignment,6.1,1653.91
332,5,2019-08-27,Preventive,,2.4,211.5
333,5,2019-09-03,Failure,Bearing wear,1.0,3222.13
334,5,2019-09-22,Preventive,,3.9,898.03
335,5,2019-10-26,Preventive,,2.9,439.18
336,5,2019-11-29,Preventive,,2.7,573.3
337,5,2019-12-25,Preventive,,1.0,791.3
338,5,2020-01-21,Preventive,,3.1,877.28
339,5,2020-02-22,Preventive,,3.3,507.2
340,5,2020-03-20,Preventive,,1.3,266.95
341,5,2020-04-17,Preventive,,1.4,844.91
342,5,2020-05-21,Preventive,,2.4,311.6
343,5,2020-06-23,Preventive,,2.7,260.35
344,5,2020-06-27,Failure,Control fault,3.1,1331.28
345,5,2020-07-26,Preventive,,4.0,238.96
346,5,2020-08-24,Preventive,,1.8,887.12
347,5,2020-09-01,Failure,Motor overheat,7.6,1217.0
348,5,2020-09-27,Preventive,,1.3,299.4
349,5,2020-10-23,Preventive,,3.7,319.51
350,5,2020-11-19,Preventive,,2.5,391.42
351,5,2020-12-15,Failure,Roller misalignment,12.3,3078.13
352,5,2020-12-18,Preventive,,3.5,307.15
353,5,2021-01-14,Failure,Bearing wear,2.7,1147.19
354,5,2021-01-15,Preventive,,2.5,883.83
355,5,2021-01-20,Failure,Blade dull,3.5,3496.91
356,5,2021-02-18,Preventive,,4.0,832.98
357,5,2021-03-21,Preventive,,2.0,740.04
358,5,2021-04-17,Preventive,,2.6,208.84
359,5,2021-05-20,Preventive,,2.7,899.0
360,5,2021-06-16,Preventive,,1.4,798.36
361,5,2021-07-18,Preventive,,2.6,212.63
362,5,2021-08-20,Preventive,,3.9,720.51
363,5,2021-08-24,Failure,Roller misalignment,3.9,674.57
364,5,2021-09-21,Preventive,,1.9,807.16
365,5,2021-10-18,Preventive,,3.5,711.11
366,5,2021-11-14,Preventive,,2.9,554.24
367,5,2021-12-11,Preventive,,2.5,380.48
368,5,2022-01-06,Preventive,,2.4,430.22
369,5,2022-02-03,Preventive,,2.4,593.13
370,5,2022-03-03,Preventive,,4.0,439.21
371,5,2022-03-15,Failure,Motor overheat,4.5,449.3
372,5,2022-03-19,Failure,Hydraulic leak,4.0,653.81
373,5,2022-04-01,Preventive,,1.9,302.01
374,5,2022-04-29,Preventive,,3.1,588.11
375,5,2022-05-29,Preventive,,2.2,427.92
376,5,2022-07-02,Preventive,,3.7,225.51
377,5,2022-08-03,Preventive,,1.1,241.55
378,5,2022-08-29,Preventive,,2.7,624.47
379,5,2022-09-25,Preventive,,3.0,812.72
380,5,2022-09-27,Failure,Blade dull,3.0,2070.52
381,5,2022-10-24,Preventive,,3.4,556.81
382,5,2022-11-21,Preventive,,3.3,213.5
383,5,2022-12-24,Preventive,,3.8,647.24
384,5,2023-01-25,Preventive,,3.4,453.73
385,5,2023-02-27,Preventive,,1.6,899.98
386,5,2023-03-08,Failure,Bearing wear,2.4,1094.34
387,5,2023-04-01,Preventive,,3.1,781.7
388,5,2023-05-05,Preventive,,1.6,386.28
389,5,2023-06-06,Preventive,,2.6,528.93
390,5,2023-07-08,Preventive,,1.9,677.35
391,5,2023-08-10,Preventive,,1.1,735.41
392,5,2023-09-05,Preventive,,2.1,637.11
393,5,2023-10-02,Preventive,,2.4,858.2
394,5,2023-11-02,Preventive,,2.9,294.12
395,5,2023-11-30,Preventive,,2.2,754.65
396,5,2023-12-26,Preventive,,1.1,643.37
397,6,2019-01-07,Preventive,,3.4,409.03
398,6,2019-02-02,Preventive,,1.5,200.04
399,6,2019-03-03,Preventive,,2.7,720.54
400,6,2019-04-06,Preventive,,2.1,319.99
401,6,2019-05-03,Preventive,,1.4,361.62
402,6,2019-05-31,Failure,Web break,2.4,1599.27
403,6,2019-06-01,Preventive,,4.0,293.16
404,6,2019-06-27,Preventive,,3.2,644.55
405,6,2019-07-17,Failure,Web break,3.0,1791.56
406,6,2019-07-27,Preventive,,3.5,314.4
407,6,2019-08-05,Failure,Hydraulic leak,0.9,952.79
408,6,2019-08-24,Preventive,,2.6,650.32
409,6,2019-09-19,Preventive,,2.7,447.19
410,6,2019-09-28,Failure,Hydraulic leak,3.0,1176.37
411,6,2019-10-20,Preventive,,1.8,796.67
412,6,2019-10-28,Failure,Control fault,3.8,1234.44
413,6,2019-11-17,Preventive,,2.6,787.18
414,6,2019-11-26,Failure,Motor overheat,7.8,7642.65
415,6,2019-12-16,Preventive,,3.9,510.4
416,6,2020-01-15,Preventive,,2.7,257.85
417,6,2020-02-18,Preventive,,1.7,873.31
418,6,2020-03-16,Preventive,,3.8,261.98
419,6,2020-04-15,Preventive,,2.5,258.03
420,6,2020-05-13,Preventive,,2.5,601.77
421,6,2020-06-09,Preventive,,1.5,419.02
422,6,2020-07-05,Preventive,,3.6,587.05
423,6,2020-08-08,Preventive,,3.9,813.89
424,6,2020-08-15,Failure,Web break,2.4,2882.8
425,6,2020-09-09,Preventive,,4.0,429.41
426,6,2020-10-13,Preventive,,2.4,223.61
427,6,2020-10-15,Failure,Hydraulic leak,1.9,1403.5
428,6,2020-11-12,Failure,Blade dull,2.5,1200.75
429,6,2020-11-14,Preventive,,2.3,660.69
430,6,2020-11-30,Failure,Motor overheat,12.1,1164.86
431,6,2020-12-02,Failure,Roller misalignment,1.4,1072.06
432,6,2020-12-13,Preventive,,1.6,254.0
433,6,2021-01-01,Failure,Hydraulic leak,2.9,1179.06
434,6,2021-01-10,Preventive,,1.9,585.4
435,6,2021-02-08,Preventive,,2.4,818.05
436,6,2021-03-14,Preventive,,3.7,590.41
437,6,2021-04-14,Preventive,,3.3,542.56
438,6,2021-05-08,Failure,Roller misalignment,1.2,2282.1
439,6,2021-05-11,Preventive,,3.9,483.05
440,6,2021-05-16,Failure,Blade dull,2.2,352.6
441,6,2021-06-09,Preventive,,3.7,203.32
442,6,2021-07-05,Preventive,,3.7,266.88
443,6,2021-08-05,Preventive,,1.8,899.4
444,6,2021-08-20,Failure,Motor overheat,3.0,779.85
445,6,2021-08-31,Preventive,,3.2,427.2
446,6,2021-09-19,Failure,Blade dull,2.7,1175.29
447,6,2021-09-26,Preventive,,3.0,206.06
448,6,2021-10-23,Preventive,,3.0,312.53
449,6,2021-11-23,Preventive,,3.0,582.27
450,6,2021-12-21,Preventive,,2.1,664.0
451,6,2022-01-16,Preventive,,1.8,749.38
452,6,2022-02-11,Preventive,,1.1,442.67
453,6,2022-03-07,Failure,Roller misalignment,0.6,1430.0
454,6,2022-03-14,Preventive,,1.9,415.35
455,6,2022-04-10,Preventive,,3.3,276.03
456,6,2022-04-28,Failure,Bearing wear,2.9,993.17
457,6,2022-05-12,Preventive,,2.4,325.69
458,6,2022-06-15,Preventive,,1.5,810.42
459,6,2022-07-17,Preventive,,2.9,838.81
460,6,2022-08-12,Preventive,,3.5,764.79
461,6,2022-08-18,Failure,Control fault,2.1,573.79
462,6,2022-08-27,Failure,Control fault,3.2,2283.6
463,6,2022-09-10,Preventive,,3.5,209.27
464,6,2022-10-06,Preventive,,3.9,529.67
465,6,2022-11-08,Preventive,,3.3,874.5
466,6,2022-11-28,Failure,Web break,2.8,2274.42
467,6,2022-12-12,Preventive,,2.8,419.31
468,6,2023-01-12,Preventive,,1.1,855.56
469,6,2023-02-15,Preventive,,3.9,608.84
470,6,2023-03-21,Preventive,,2.3,487.03
471,6,2023-04-18,Preventive,,3.6,807.28
472,6,2023-05-21,Preventive,,1.7,228.14
473,6,2023-06-02,Failure,Hydraulic leak,6.3,863.3
474,6,2023-06-23,Preventive,,1.4,477.8
475,6,2023-07-24,Failure,Motor overheat,4.3,1209.49
476,6,2023-07-25,Preventive,,2.0,458.88
477,6,2023-08-10,Failure,Hydraulic leak,3.8,4265.19
478,6,2023-08-21,Preventive,,1.1,541.18
479,6,2023-09-19,Preventive,,2.3,698.08
480,6,2023-10-19,Preventive,,2.2,737.1
481,6,2023-11-19,Preventive,,2.6,385.3
482,6,2023-12-16,Preventive,,2.5,468.98
483,7,2019-01-05,Preventive,,2.4,688.42
484,7,2019-01-31,Preventive,,1.1,413.02
485,7,2019-02-08,Failure,Hydraulic leak,2.3,10007.14
486,7,2019-02-26,Preventive,,2.6,586.85
487,7,2019-03-25,Preventive,,3.9,403.38
488,7,2019-04-21,Preventive,,1.4,589.04
489,7,2019-05-18,Preventive,,3.9,634.35
490,7,2019-06-03,Failure,Web break,7.8,1097.17
491,7,2019-06-08,Failure,Motor overheat,3.2,997.82
492,7,2019-06-13,Preventive,,3.8,321.89
493,7,2019-07-12,Failure,Bearing wear,2.6,814.03
494,7,2019-07-17,Preventive,,2.8,522.2
495,7,2019-08-14,Preventive,,2.5,484.0
496,7,2019-08-26,Failure,Web break,4.1,2077.76
497,7,2019-09-13,Preventive,,3.0,867.55
498,7,2019-10-09,Preventive,,2.3,308.92
499,7,2019-11-05,Preventive,,1.1,727.25
500,7,2019-12-06,Preventive,,1.2,475.24
501,7,2020-01-04,Preventive,,1.3,841.25
502,7,2020-01-31,Preventive,,2.9,853.65
503,7,2020-02-20,Failure,Control fault,4.5,479.95
504,7,2020-02-29,Preventive,,1.9,847.17
505,7,2020-03-31,Preventive,,2.1,331.07
506,7,2020-05-04,Preventive,,2.5,515.94
507,7,2020-06-03,Preventive,,2.8,575.92
508,7,2020-07-06,Preventive,,1.3,609.11
509,7,2020-08-09,Preventive,,2.4,584.55
510,7,2020-09-10,Preventive,,3.9,212.71
511,7,2020-09-10,Failure,Web break,3.2,2188.13
512,7,2020-10-06,Preventive,,3.9,345.72
513,7,2020-11-02,Failure,Hydraulic leak,1.8,1618.76
514,7,2020-11-07,Preventive,,2.7,204.76
515,7,2020-12-09,Preventive,,2.3,604.17
516,7,2020-12-29,Failure,Blade dull,7.2,1839.24
517,7,2021-01-02,Failure,Blade dull,5.7,1272.77
518,7,2021-01-08,Preventive,,3.7,635.44
519,7,2021-02-10,Preventive,,1.2,278.27
520,7,2021-03-08,Preventive,,2.4,447.47
521,7,2021-03-18,Failure,Control fault,0.7,2740.77
522,7,2021-04-09,Preventive,,2.8,781.41
523,7,2021-04-14,Failure,Hydraulic leak,1.3,1077.55
524,7,2021-05-13,Preventive,,2.1,418.27
525,7,2021-06-13,Preventive,,3.5,453.99
526,7,2021-07-09,Preventive,,2.6,619.0
527,7,2021-08-04,Preventive,,1.8,829.88
528,7,2021-08-19,Failure,Motor overheat,4.9,1337.87
529,7,2021-09-03,Preventive,,2.2,504.88
