response_id,employee_id,department,level,submitted_date,q_pipeline_confidence,q_sql_literacy,q_etl_understanding,q_communicate_data,q_spreadsheet_skill,q_data_for_change,q_data_viz,q_when_to_adopt_ai,q_help_others_adopt,q_lead_change_mgmt,freq_ai_email,freq_ai_reports,freq_ai_code,freq_ai_review,primary_barrier
52,54,Warehouse,1,2023-06-15,3,2,2,2,3,1,2,1,2,2,2,2,1,1,Skill gap
58,61,Sales,3,2023-06-15,3,2,3,4,3,4,4,3,3,3,3,3,2,3,Unclear value
61,64,Sales,2,2023-06-15,1,3,3,3,3,3,1,2,2,3,3,3,1,2,Skill gap
63,66,Accounting,3,2023-06-15,4,4,4,4,5,3,3,4,3,4,3,3,1,3,
66,69,Sales,2,2023-06-15,2,2,2,3,2,2,2,3,1,1,1,2,1,2,Skill gap
69,72,Human Resources,3,2023-06-15,3,2,3,4,4,3,4,2,3,3,3,3,2,3,Unclear value
71,74,Sales,3,2023-06-15,3,3,3,3,3,2,3,3,3,3,1,3,1,2,Unclear value
73,76,Sales,2,2023-06-15,2,2,3,3,3,3,3,3,3,3,3,1,1,1,
74,78,Sales,3,2023-06-15,2,1,2,2,4,2,3,3,3,2,2,2,1,3,Data privacy
78,83,Sales,3,2023-06-15,2,3,3,4,4,3,2,3,3,4,2,2,2,3,Unclear value
79,84,Sales,3,2023-06-15,4,5,4,5,5,4,4,5,3,4,3,3,3,5,
80,85,Administration,1,2023-06-15,3,2,3,3,4,4,2,3,4,3,4,3,2,3,Unclear value
81,86,Sales,2,2023-06-15,1,3,1,3,3,3,3,4,2,2,2,3,1,3,
85,90,Warehouse,3,2023-06-15,2,3,2,3,3,2,2,4,2,2,3,2,1,2,Data privacy
87,92,Sales,3,2023-06-15,2,3,2,2,3,2,2,2,2,1,2,3,1,1,Skill gap
89,94,Sales,2,2023-06-15,3,3,2,4,4,4,3,4,4,3,3,3,1,3,Trust in output
99,104,Sales,3,2023-06-15,2,4,3,3,3,2,4,4,2,4,4,3,2,3,Unclear value
104,109,Sales,2,2023-06-15,3,3,4,5,4,4,4,5,3,4,5,4,2,4,
106,111,Sales,3,2023-06-15,3,2,2,3,3,4,3,2,3,2,3,3,1,2,Trust in output
107,112,Accounting,3,2023-06-15,4,3,3,4,5,4,4,3,4,4,4,4,3,4,
111,116,Sales,3,2023-06-15,4,2,1,4,3,3,3,2,2,2,2,1,1,2,Skill gap
116,121,Sales,2,2023-06-15,3,2,2,4,3,4,2,3,2,4,2,3,2,3,Trust in output
134,140,Sales,2,2023-06-15,3,3,3,4,3,3,3,4,3,3,3,4,3,2,Time pressure
149,159,Administration,2,2023-06-15,4,2,2,3,3,2,2,3,2,3,3,2,1,1,Skill gap
151,161,Sales,2,2023-06-15,2,1,2,3,2,4,3,2,2,2,2,3,1,2,Skill gap
154,164,Warehouse,1,2023-06-15,1,1,2,1,1,1,2,2,1,2,1,1,1,1,Unclear value
155,165,Warehouse,3,2023-06-15,3,3,2,4,3,2,3,3,3,3,2,4,1,1,Time pressure
161,171,Customer Service,2,2023-06-15,2,1,3,2,2,1,2,2,2,3,1,2,1,3,Time pressure
163,173,Human Resources,3,2023-06-15,4,3,2,3,3,2,4,4,3,2,4,3,2,1,Data privacy
164,174,Sales,2,2023-06-15,3,2,2,2,2,2,3,3,2,3,3,3,1,1,Unclear value
165,175,Warehouse,1,2023-06-15,1,2,2,3,3,2,2,2,3,2,4,2,1,1,Data privacy
166,176,Customer Service,2,2023-06-15,3,3,2,3,2,2,3,3,3,2,3,3,2,1,Time pressure
171,183,Accounting,2,2023-06-15,3,3,2,2,4,3,2,3,3,3,3,2,1,2,Time pressure
172,184,Sales,3,2023-06-15,2,3,3,3,3,3,3,3,3,3,4,3,2,1,
175,188,Sales,2,2023-06-15,3,2,3,3,4,3,2,3,3,3,4,3,2,1,Trust in output
176,189,Sales,2,2023-06-15,4,2,1,3,4,2,2,2,2,2,3,2,1,2,Skill gap
178,191,Sales,3,2023-06-15,4,5,3,5,5,4,5,5,3,4,4,3,2,3,Unclear value
179,192,Sales,3,2023-06-15,4,3,4,3,4,4,4,3,3,3,3,3,1,3,Unclear value
188,201,Sales,3,2023-06-15,4,3,3,4,3,3,2,4,5,4,3,2,1,1,Time pressure
192,205,Sales,3,2023-06-15,3,2,4,2,2,4,3,3,4,3,4,3,2,2,Trust in output
195,208,Sales,3,2023-06-15,3,2,3,3,3,3,3,3,3,3,3,1,2,1,Skill gap
198,212,Customer Service,2,2023-06-15,3,3,1,3,4,4,3,3,3,4,4,3,3,4,Skill gap
200,214,Sales,2,2023-06-15,3,3,2,4,3,3,3,3,3,3,4,3,1,1,Unclear value
202,216,Warehouse,1,2023-06-15,2,1,2,3,1,2,2,2,1,2,2,1,1,1,
203,217,Human Resources,3,2023-06-15,2,2,1,3,2,2,2,1,1,3,2,2,1,1,Time pressure
204,218,Sales,2,2023-06-15,4,4,3,4,5,4,5,4,4,4,5,3,2,2,Trust in output
208,222,Sales,3,2023-06-15,5,4,4,4,5,5,3,3,4,4,4,5,3,3,Unclear value
214,228,Sales,2,2023-06-15,2,1,1,4,3,2,2,2,3,3,2,2,2,3,Trust in output
216,230,Administration,2,2023-06-15,3,2,2,2,3,3,3,4,3,3,3,3,2,2,Unclear value
217,231,Sales,2,2023-06-15,2,3,3,3,2,4,1,3,3,2,2,3,2,2,Trust in output
219,233,Human Resources,3,2023-06-15,3,2,2,4,4,3,3,4,4,3,2,3,2,1,Time pressure
220,234,Customer Service,2,2023-06-15,1,1,2,2,2,2,3,2,1,2,1,2,1,1,Skill gap
223,238,Sales,2,2023-06-15,3,1,2,4,3,4,1,2,3,2,2,2,1,2,Trust in output
232,248,Sales,3,2023-06-15,2,2,3,2,2,2,3,2,2,3,3,2,2,1,Skill gap
233,249,Sales,3,2023-06-15,4,3,3,4,4,2,3,4,4,3,3,3,1,3,Time pressure
235,251,Sales,2,2023-06-15,4,2,3,3,2,2,2,3,3,3,4,2,1,2,Unclear value
236,252,Sales,2,2023-06-15,3,3,4,2,3,2,3,3,3,3,2,2,2,1,Unclear value
238,254,Sales,3,2023-06-15,2,3,4,2,4,2,2,2,1,2,3,2,1,1,Unclear value
240,256,Human Resources,3,2023-06-15,4,3,3,3,4,3,3,3,3,2,3,2,2,3,Time pressure
243,259,Sales,2,2023-06-15,4,4,3,4,4,3,2,3,2,4,3,2,3,4,Skill gap
244,260,Sales,3,2023-06-15,3,2,2,3,2,2,1,2,2,2,2,3,1,1,Skill gap
249,265,Sales,2,2023-06-15,4,3,3,3,3,4,3,4,2,3,4,2,3,2,Unclear value
253,269,Customer Service,2,2023-06-15,2,2,2,2,3,2,1,2,2,2,2,2,1,1,Skill gap
260,276,Customer Service,2,2023-06-15,2,3,2,3,3,3,3,3,1,4,3,1,3,2,Skill gap
263,279,Sales,3,2023-06-15,4,4,4,4,4,4,3,3,4,4,4,2,1,4,Trust in output
268,284,Human Resources,3,2023-06-15,3,2,3,5,4,3,2,2,2,3,3,3,2,2,Trust in output
274,290,Sales,2,2023-06-15,2,3,3,1,2,2,2,2,2,2,2,3,1,1,Trust in output
276,292,Sales,3,2023-06-15,4,3,2,4,3,5,3,5,3,5,4,2,3,2,
277,293,Sales,2,2023-06-15,3,2,2,2,3,3,2,3,2,2,2,3,1,4,Data privacy
285,301,Sales,3,2023-06-15,2,3,2,3,4,1,2,2,2,3,3,3,2,2,Skill gap
288,304,Sales,2,2023-06-15,3,3,2,3,2,4,3,3,4,2,3,3,1,2,Trust in output
289,305,Warehouse,1,2023-06-15,2,2,3,3,4,2,4,3,2,2,3,3,1,1,Unclear value
290,306,Sales,3,2023-06-15,3,3,2,3,4,3,4,3,3,2,2,3,2,4,Unclear value
306,324,Customer Service,2,2023-06-15,3,3,3,3,3,2,2,3,1,2,3,2,2,2,Unclear value
312,331,Warehouse,3,2023-06-15,2,1,1,2,3,2,3,3,1,2,2,1,1,2,Skill gap
314,333,Sales,2,2023-06-15,3,3,4,4,4,3,3,3,3,3,3,3,1,2,Unclear value
325,345,Accounting,2,2023-06-15,1,3,2,3,4,3,3,2,2,1,3,2,3,3,Skill gap
334,354,Sales,3,2023-06-15,4,4,4,4,4,3,3,4,3,3,5,3,2,4,
337,357,Sales,3,2023-06-15,3,3,3,4,3,3,3,3,2,2,2,3,3,2,
338,358,Sales,2,2023-06-15,4,3,3,3,3,3,3,4,3,3,4,2,2,3,Skill gap
339,359,Warehouse,1,2023-06-15,1,2,3,2,3,2,1,2,2,2,2,3,1,1,
342,362,Sales,3,2023-06-15,3,3,3,4,4,4,4,4,3,4,3,3,2,3,Trust in output
350,370,Sales,2,2023-06-15,3,2,2,3,3,2,2,3,2,2,3,1,1,2,
359,379,Sales,3,2023-06-15,5,4,4,4,4,3,3,3,4,3,4,3,1,4,
361,381,Sales,2,2023-06-15,4,4,3,3,4,3,3,4,3,4,3,2,1,2,Time pressure
363,384,Sales,3,2023-06-15,3,2,3,2,4,3,4,4,3,4,4,2,1,3,Trust in output
370,391,Sales,2,2023-06-15,2,2,1,2,4,3,2,3,2,3,1,1,2,1,Skill gap
375,396,Human Resources,3,2023-06-15,2,3,3,5,4,3,3,3,4,2,3,2,3,2,Unclear value
383,404,Sales,2,2023-06-15,3,3,4,3,4,3,3,3,2,2,3,2,2,1,Skill gap
391,412,Sales,2,2023-06-15,2,2,2,3,3,1,2,2,2,4,2,1,2,1,Skill gap
392,414,Administration,1,2023-06-15,3,3,2,3,4,2,3,2,2,2,2,3,3,2,Skill gap
396,420,Sales,3,2023-06-15,3,2,3,3,4,2,2,3,3,3,2,3,2,2,Unclear value
398,422,Sales,2,2023-06-15,3,3,4,2,4,3,4,3,3,3,3,3,2,3,Skill gap
406,431,Sales,3,2023-06-15,2,2,3,3,3,2,2,3,1,3,2,2,2,1,Time pressure
407,432,Sales,3,2023-06-15,4,4,3,3,4,4,3,4,2,3,4,4,1,1,Unclear value
409,434,Sales,2,2023-06-15,3,3,2,4,2,3,2,3,3,3,4,3,3,1,Time pressure
413,438,Sales,3,2023-06-15,3,4,3,4,5,5,5,4,3,5,5,3,3,1,
414,439,Sales,2,2023-06-15,2,3,2,2,2,4,3,2,3,2,2,2,2,2,Time pressure
416,441,Human Resources,3,2023-06-15,1,3,3,3,3,3,3,2,2,2,4,1,1,1,
420,445,Administration,2,2023-06-15,2,2,2,3,3,3,1,3,1,2,1,4,1,3,Data privacy
421,446,Administration,1,2023-06-15,3,2,2,2,3,3,1,3,4,2,3,1,1,2,Unclear value
422,447,Customer Service,2,2023-06-15,4,3,3,4,4,4,3,5,4,3,3,3,3,5,
431,457,Accounting,3,2023-06-15,4,4,4,4,4,4,4,4,4,4,5,4,2,5,
432,458,Sales,2,2023-06-15,3,3,4,4,4,4,3,2,4,4,4,4,2,3,Time pressure
435,461,Human Resources,3,2023-06-15,2,3,3,3,2,2,3,3,2,3,2,2,2,3,Trust in output
443,469,Customer Service,2,2023-06-15,3,2,2,3,4,2,1,3,3,3,2,3,3,2,Skill gap
444,470,Human Resources,3,2023-06-15,4,4,3,4,4,4,4,4,4,4,4,3,3,2,Time pressure
446,472,Sales,3,2023-06-15,3,3,3,2,3,3,3,4,3,3,3,3,2,2,Time pressure
449,475,Accounting,2,2023-06-15,3,3,2,3,3,3,3,4,2,3,4,3,2,3,Time pressure
452,478,Sales,2,2023-06-15,2,3,3,3,5,3,4,4,3,2,4,3,2,1,Trust in output
453,479,Sales,2,2023-06-15,3,2,3,2,5,3,3,4,3,2,3,2,2,2,
457,483,Sales,3,2023-06-15,3,3,3,2,3,3,2,3,3,3,3,2,3,1,Skill gap
462,488,Sales,2,2023-06-15,4,3,4,4,4,3,3,2,3,3,3,3,1,2,Trust in output
463,489,Sales,3,2023-06-15,4,4,4,5,5,4,5,4,3,5,4,2,4,3,Time pressure
465,491,Sales,2,2023-06-15,2,2,3,2,2,3,1,3,2,1,3,2,1,2,Unclear value
466,492,Sales,2,2023-06-15,2,2,3,2,4,3,2,3,3,2,3,2,2,4,Skill gap
471,497,Sales,3,2023-06-15,2,3,3,3,4,3,3,3,2,3,3,3,2,1,Data privacy
