order_id,order_date,customer_id,branch_id,sales_rep_employee_id,channel,order_status,ship_date,discount_pct
967,2022-09-27,33,1,238,Online,Fulfilled,2022-09-29,0.05
1012,2022-10-03,2485,1,6,Field Sales,Fulfilled,2022-10-07,0.05
1035,2022-12-15,1250,1,2,Phone,Fulfilled,2022-12-16,0.05
1069,2022-08-31,1477,1,2,Field Sales,Fulfilled,2022-09-04,0.05
1073,2022-02-03,2072,1,104,Field Sales,Fulfilled,2022-02-07,0.0
1103,2022-04-08,293,1,6,Field Sales,Fulfilled,2022-04-11,0.0
1106,2022-01-21,2142,1,2,Field Sales,Fulfilled,2022-01-24,0.05
1138,2022-05-31,2012,1,6,Field Sales,Fulfilled,2022-06-01,0.0
1142,2022-07-05,2376,1,2,Field Sales,Fulfilled,2022-07-08,0.0
1145,2022-12-24,175,1,18,Field Sales,Fulfilled,2022-12-28,0.1
1174,2022-01-17,227,1,161,Phone,Fulfilled,2022-01-18,0.15
1183,2022-08-17,1965,1,104,Phone,Fulfilled,2022-08-20,0.0
1193,2022-05-17,306,1,6,Online,Fulfilled,2022-05-20,0.0
1196,2022-03-18,209,1,161,Field Sales,Fulfilled,2022-03-20,0.05
1226,2022-12-20,2100,1,2,Field Sales,Fulfilled,2022-12-23,0.05
1233,2022-08-29,1307,1,6,Phone,Fulfilled,2022-09-01,0.05
1243,2022-11-01,2209,1,161,Online,Fulfilled,2022-11-02,0.0
1265,2022-10-18,2081,1,104,Field Sales,Cancelled,,0.0
1272,2022-12-18,1619,1,7,Phone,Fulfilled,2022-12-21,0.0
1287,2022-07-25,1388,1,6,Field Sales,Fulfilled,2022-07-26,0.0
1314,2022-02-23,615,1,2,Field Sales,Fulfilled,2022-02-26,0.0
1325,2022-10-26,600,1,5,Phone,Fulfilled,2022-10-30,0.05
1334,2022-01-30,1232,1,279,Online,Fulfilled,2022-01-31,0.0
1336,2022-05-23,2227,1,238,Phone,Fulfilled,2022-05-25,0.1
1352,2022-08-17,1497,1,7,Online,Fulfilled,2022-08-21,0.0
1355,2022-02-02,2047,1,6,Field Sales,Fulfilled,2022-02-07,0.0
1366,2022-12-24,1100,1,279,Field Sales,Fulfilled,2022-12-27,0.05
1373,2022-02-28,1172,1,161,Phone,Fulfilled,2022-03-03,0.05
1378,2022-03-30,132,1,238,Field Sales,Fulfilled,2022-03-31,0.05
1389,2022-03-08,1621,1,6,Online,Fulfilled,2022-03-13,0.0
1396,2022-11-03,1779,1,3,Online,Fulfilled,2022-11-05,0.0
1403,2022-08-10,1064,1,161,Field Sales,Fulfilled,2022-08-11,0.0
1410,2022-03-28,887,1,7,Field Sales,Fulfilled,2022-04-01,0.15
1421,2022-04-26,405,1,7,Phone,Fulfilled,2022-04-27,0.1
1445,2022-05-06,121,1,6,Online,Fulfilled,2022-05-10,0.0
1446,2022-02-09,402,1,2,Phone,Fulfilled,2022-02-12,0.0
1449,2022-11-09,2047,1,238,Phone,Fulfilled,2022-11-10,0.0
1451,2022-12-22,1025,1,104,Phone,Returned,2022-12-26,0.1
1474,2022-06-02,2255,1,2,Field Sales,Fulfilled,2022-06-07,0.0
1481,2022-08-01,1016,1,6,Phone,Returned,2022-08-06,0.0
1482,2022-12-16,2382,1,18,Online,Fulfilled,2022-12-19,0.05
1485,2022-12-07,1322,1,7,Phone,Fulfilled,2022-12-12,0.1
1506,2022-12-13,1847,1,104,Field Sales,Returned,2022-12-16,0.05
1517,2022-11-23,1538,1,83,Online,Fulfilled,2022-11-28,0.0
1521,2022-03-24,2081,1,104,Phone,Fulfilled,2022-03-27,0.1
1545,2022-12-22,865,1,7,Field Sales,Fulfilled,2022-12-25,0.0
1558,2022-07-13,389,1,7,Field Sales,Fulfilled,2022-07-17,0.0
1561,2022-11-21,2474,1,238,Field Sales,Fulfilled,2022-11-26,0.1
1582,2022-01-25,938,1,104,Field Sales,Returned,2022-01-28,0.1
1586,2022-07-05,471,1,161,Online,Fulfilled,2022-07-09,0.0
1591,2022-02-17,2254,1,161,Field Sales,Fulfilled,2022-02-18,0.05
1594,2022-12-29,775,1,7,Online,Fulfilled,2022-12-31,0.0
1622,2022-06-29,1088,1,104,Field Sales,Fulfilled,2022-06-30,0.0
1652,2022-06-09,678,1,83,Phone,Fulfilled,2022-06-10,0.0
1658,2022-02-07,2490,1,3,Online,Fulfilled,2022-02-08,0.15
1665,2022-03-22,2258,1,238,Field Sales,Fulfilled,2022-03-26,0.0
1706,2022-01-11,1543,1,6,Field Sales,Returned,2022-01-13,0.15
1715,2022-11-20,1464,1,2,Phone,Fulfilled,2022-11-21,0.0
1733,2022-03-21,1278,1,238,Field Sales,Fulfilled,2022-03-26,0.0
1749,2022-11-01,1938,1,5,Field Sales,Fulfilled,2022-11-03,0.05
1763,2022-06-11,1507,1,6,Field Sales,Fulfilled,2022-06-13,0.0
1769,2022-10-12,1841,1,238,Field Sales,Returned,2022-10-13,0.05
1778,2022-02-14,339,1,83,Phone,Fulfilled,2022-02-17,0.0
1801,2022-12-22,809,1,18,Field Sales,Fulfilled,2022-12-24,0.0
1804,2022-02-25,1163,1,7,Phone,Fulfilled,2022-03-02,0.1
1812,2022-12-09,1933,1,18,Field Sales,Fulfilled,2022-12-10,0.0
1813,2022-12-20,1274,1,83,Field Sales,Fulfilled,2022-12-22,0.0
1826,2022-09-20,1052,1,7,Field Sales,Fulfilled,2022-09-21,0.05
1849,2022-09-29,505,1,5,Field Sales,Fulfilled,2022-10-01,0.0
1861,2022-10-07,1399,1,238,Field Sales,Fulfilled,2022-10-12,0.0
1867,2022-05-27,2347,1,104,Phone,Fulfilled,2022-05-31,0.1
1872,2022-09-13,563,1,83,Field Sales,Fulfilled,2022-09-16,0.05
1954,2022-11-22,2307,1,3,Phone,Fulfilled,2022-11-24,0.0
1959,2022-08-02,1881,1,83,Field Sales,Returned,2022-08-06,0.0
1967,2022-04-16,1634,1,7,Phone,Fulfilled,2022-04-18,0.05
1975,2022-08-18,2088,1,5,Online,Fulfilled,2022-08-22,0.1
1986,2022-11-26,1205,1,18,Field Sales,Fulfilled,2022-11-30,0.0
2009,2022-01-20,276,1,83,Phone,Fulfilled,2022-01-21,0.0
2054,2022-10-12,1978,1,5,Phone,Fulfilled,2022-10-17,0.1
2062,2022-04-15,115,1,18,Phone,Fulfilled,2022-04-19,0.0
2063,2022-07-11,1113,1,83,Field Sales,Fulfilled,2022-07-16,0.0
2072,2022-02-01,400,1,5,Online,Fulfilled,2022-02-03,0.0
2086,2022-04-28,2216,1,5,Phone,Fulfilled,2022-04-30,0.1
2120,2022-03-07,315,1,279,Field Sales,Fulfilled,2022-03-08,0.0
2121,2022-03-24,2319,1,18,Field Sales,Fulfilled,2022-03-25,0.0
2130,2022-09-26,813,1,3,Online,Fulfilled,2022-09-30,0.0
2131,2022-04-26,884,1,3,Field Sales,Fulfilled,2022-04-30,0.1
2148,2022-09-30,997,1,238,Field Sales,Fulfilled,2022-10-03,0.0
2159,2022-12-06,1793,1,83,Field Sales,Fulfilled,2022-12-07,0.05
2189,2022-01-23,1660,1,18,Phone,Fulfilled,2022-01-27,0.0
2191,2022-12-14,781,1,2,Field Sales,Fulfilled,2022-12-15,0.05
2193,2022-01-05,1651,1,2,Field Sales,Fulfilled,2022-01-10,0.1
2198,2022-10-11,1096,1,104,Field Sales,Fulfilled,2022-10-16,0.15
2209,2022-04-12,2395,1,238,Field Sales,Fulfilled,2022-04-15,0.1
2216,2022-12-23,2326,1,5,Phone,Fulfilled,2022-12-27,0.0
2224,2022-09-27,655,1,7,Phone,Fulfilled,2022-09-28,0.0
2226,2022-08-11,1716,1,18,Field Sales,Fulfilled,2022-08-12,0.0
2239,2022-05-10,1071,1,83,Field Sales,Fulfilled,2022-05-15,0.05
2249,2022-12-18,1888,1,104,Field Sales,Fulfilled,2022-12-20,0.0
2253,2022-04-11,2290,1,279,Phone,Fulfilled,2022-04-15,0.0
2254,2022-09-21,290,1,3,Online,Returned,2022-09-22,0.0
2264,2022-02-18,177,1,83,Field Sales,Fulfilled,2022-02-22,0.0
2266,2022-10-10,18,1,238,Phone,Fulfilled,2022-10-15,0.1
2296,2022-11-29,930,1,161,Field Sales,Returned,2022-12-01,0.05
2297,2022-01-20,1446,1,161,Phone,Cancelled,,0.15
2300,2022-05-02,2268,1,18,Field Sales,Fulfilled,2022-05-07,0.1
2323,2022-04-07,707,1,2,Phone,Fulfilled,2022-04-11,0.05
2334,2022-02-15,442,1,104,Online,Fulfilled,2022-02-16,0.0
2345,2022-10-24,1568,1,6,Field Sales,Fulfilled,2022-10-29,0.0
2346,2022-04-06,1488,1,2,Field Sales,Fulfilled,2022-04-07,0.1
2408,2022-12-12,2365,1,3,Phone,Fulfilled,2022-12-14,0.0
2426,2022-04-08,22,1,5,Field Sales,Returned,2022-04-10,0.0
2431,2022-02-23,156,1,83,Field Sales,Fulfilled,2022-02-26,0.0
2434,2022-01-04,1440,1,279,Phone,Fulfilled,2022-01-08,0.05
2455,2022-10-11,1674,1,279,Online,Fulfilled,2022-10-12,0.05
2480,2022-01-13,874,1,279,Online,Fulfilled,2022-01-14,0.0
2503,2022-03-18,1317,1,3,Field Sales,Fulfilled,2022-03-19,0.05
2560,2022-11-30,1265,1,83,Phone,Fulfilled,2022-12-02,0.0
2569,2022-10-11,265,1,83,Field Sales,Fulfilled,2022-10-15,0.1
2573,2022-11-01,1933,1,3,Field Sales,Fulfilled,2022-11-06,0.05
2600,2022-06-15,1948,1,279,Field Sales,Cancelled,,0.1
2611,2022-07-12,1915,1,18,Phone,Cancelled,,0.0
2628,2022-05-30,2295,1,18,Phone,Fulfilled,2022-06-03,0.15
2632,2022-08-05,2029,1,18,Online,Fulfilled,2022-08-07,0.05
2647,2022-09-28,1106,1,238,Field Sales,Fulfilled,2022-09-29,0.15
2663,2022-12-20,942,1,83,Online,Fulfilled,2022-12-24,0.0
2670,2022-11-15,177,1,279,Field Sales,Fulfilled,2022-11-20,0.0
2676,2022-05-03,1747,1,279,Field Sales,Fulfilled,2022-05-05,0.0
2679,2022-04-28,854,1,2,Online,Fulfilled,2022-04-29,0.15
2708,2022-02-15,124,1,7,Phone,Fulfilled,2022-02-17,0.0
2734,2022-04-07,549,1,5,Phone,Returned,2022-04-08,0.0
2743,2022-10-06,1831,1,104,Field Sales,Fulfilled,2022-10-11,0.0
2774,2022-06-22,2458,1,3,Phone,Fulfilled,2022-06-27,0.05
2804,2022-02-01,1305,1,279,Phone,Fulfilled,2022-02-03,0.05
2841,2022-10-20,2192,1,161,Online,Fulfilled,2022-10-25,0.0
2842,2022-09-23,1423,1,104,Field Sales,Fulfilled,2022-09-26,0.0
2848,2022-09-24,2121,1,6,Field Sales,Fulfilled,2022-09-27,0.0
2863,2022-01-04,2421,1,279,Phone,Fulfilled,2022-01-08,0.1
2879,2022-10-10,1895,1,238,Field Sales,Fulfilled,2022-10-13,0.0
2931,2022-08-27,28,1,104,Online,Fulfilled,2022-08-29,0.0
2947,2022-01-19,1809,1,5,Phone,Fulfilled,2022-01-20,0.1
2964,2022-03-26,1290,1,3,Online,Fulfilled,2022-03-30,0.0
2983,2022-06-10,1717,1,7,Online,Fulfilled,2022-06-12,0.0
2984,2022-12-21,1933,1,5,Phone,Fulfilled,2022-12-26,0.05
3001,2022-03-20,1680,1,7,Online,Fulfilled,2022-03-24,0.05
3017,2022-08-10,663,1,5,Field Sales,Fulfilled,2022-08-15,0.1
3018,2022-01-01,1163,1,18,Field Sales,Fulfilled,2022-01-03,0.1
3024,2022-03-30,1319,1,5,Field Sales,Fulfilled,2022-03-31,0.0
3032,2022-06-12,1389,1,7,Phone,Fulfilled,2022-06-14,0.05
3054,2022-11-10,1848,1,6,Phone,Fulfilled,2022-11-13,0.0
3080,2022-05-05,481,1,3,Field Sales,Fulfilled,2022-05-08,0.0
3085,2022-07-23,913,1,279,Field Sales,Fulfilled,2022-07-26,0.05
3098,2022-07-08,1604,1,104,Field Sales,Fulfilled,2022-07-11,0.0
3114,2022-09-21,1686,1,104,Online,Fulfilled,2022-09-23,0.1
3124,2022-06-28,104,1,104,Phone,Fulfilled,2022-07-01,0.0
3127,2022-03-12,2227,1,104,Phone,Fulfilled,2022-03-16,0.0
3143,2022-04-26,423,1,83,Phone,Fulfilled,2022-04-30,0.0
3151,2022-09-21,1823,1,161,Field Sales,Fulfilled,2022-09-22,0.0
3155,2022-04-21,1879,1,104,Field Sales,Fulfilled,2022-04-24,0.0
3162,2022-10-24,766,1,5,Field Sales,Fulfilled,2022-10-29,0.0
3171,2022-04-18,1654,1,83,Phone,Fulfilled,2022-04-22,0.05
3175,2022-08-15,2392,1,2,Field Sales,Fulfilled,2022-08-20,0.05
3183,2022-11-07,510,1,18,Phone,Fulfilled,2022-11-08,0.05
3192,2022-12-31,793,1,7,Phone,Fulfilled,2023-01-02,0.0
3194,2022-11-11,807,1,238,Field Sales,Fulfilled,2022-11-13,0.05
3210,2022-05-17,446,1,18,Field Sales,Fulfilled,2022-05-21,0.05
3228,2022-05-02,813,1,2,Field Sales,Fulfilled,2022-05-05,0.0
3242,2022-08-26,664,1,83,Field Sales,Fulfilled,2022-08-31,0.0
3244,2022-04-28,368,1,6,Field Sales,Fulfilled,2022-05-01,0.0
3255,2022-01-29,319,1,2,Field Sales,Fulfilled,2022-02-02,0.05
3258,2022-08-10,2372,1,18,Phone,Fulfilled,2022-08-14,0.05
3273,2022-11-17,1109,1,238,Field Sales,Fulfilled,2022-11-19,0.0
3276,2022-10-24,562,1,279,Field Sales,Fulfilled,2022-10-28,0.0
3290,2022-05-04,1109,1,279,Field Sales,Fulfilled,2022-05-09,0.0
3299,2022-11-16,2446,1,5,Online,Fulfilled,2022-11-18,0.15
3319,2022-02-21,1732,1,2,Phone,Fulfilled,2022-02-22,0.1
3369,2022-04-04,2085,1,83,Phone,Fulfilled,2022-04-08,0.0
3378,2022-04-28,144,1,3,Phone,Fulfilled,2022-04-29,0.15
3383,2022-08-25,1303,1,6,Field Sales,Fulfilled,2022-08-29,0.1
3387,2022-02-15,563,1,83,Field Sales,Returned,2022-02-20,0.1
3388,2022-01-04,1227,1,83,Field Sales,Fulfilled,2022-01-07,0.0
3428,2022-09-12,776,1,83,Phone,Fulfilled,2022-09-16,0.15
3441,2022-10-27,1332,1,6,Field Sales,Fulfilled,2022-11-01,0.15
3458,2022-09-01,383,1,161,Field Sales,Fulfilled,2022-09-05,0.0
3459,2022-07-18,2436,1,5,Phone,Fulfilled,2022-07-21,0.0
3489,2022-09-04,1041,1,18,Field Sales,Fulfilled,2022-09-09,0.05
3511,2022-11-29,670,1,279,Field Sales,Fulfilled,2022-12-02,0.0
3545,2022-03-15,2068,1,2,Field Sales,Fulfilled,2022-03-20,0.0
3557,2022-02-18,1773,1,3,Online,Returned,2022-02-21,0.0
3569,2022-07-25,859,1,5,Online,Fulfilled,2022-07-26,0.0
3579,2022-06-25,1937,1,161,Field Sales,Fulfilled,2022-06-27,0.1
3593,2022-09-16,1005,1,238,Online,Fulfilled,2022-09-18,0.05
3599,2022-10-15,1107,1,238,Field Sales,Fulfilled,2022-10-20,0.05
3611,2022-07-28,1522,1,3,Field Sales,Returned,2022-07-30,0.0
3613,2022-07-12,1127,1,161,Field Sales,Fulfilled,2022-07-13,0.05
3614,2022-11-04,1831,1,83,Field Sales,Fulfilled,2022-11-06,0.0
3706,2022-07-28,1333,1,104,Field Sales,Fulfilled,2022-07-31,0.0
3712,2022-07-17,552,1,5,Field Sales,Fulfilled,2022-07-21,0.05
3724,2022-10-03,1894,1,18,Online,Fulfilled,2022-10-04,0.05
3749,2022-07-05,683,1,3,Phone,Fulfilled,2022-07-06,0.0
3781,2022-09-26,171,1,3,Phone,Fulfilled,2022-09-30,0.0
3791,2022-04-28,1699,1,7,Field Sales,Fulfilled,2022-05-02,0.0
3795,2022-11-03,1300,1,2,Online,Fulfilled,2022-11-06,0.0
3805,2022-04-25,1943,1,6,Field Sales,Fulfilled,2022-04-29,0.05
3833,2022-03-21,2002,1,18,Field Sales,Fulfilled,2022-03-23,0.05
3838,2022-12-22,2449,1,6,Phone,Cancelled,,0.05
3855,2022-09-26,84,1,238,Online,Cancelled,,0.1
3856,2022-11-24,812,1,18,Field Sales,Fulfilled,2022-11-25,0.0
3880,2022-08-17,1748,1,104,Field Sales,Fulfilled,2022-08-18,0.0
3892,2022-09-07,562,1,7,Field Sales,Fulfilled,2022-09-11,0.0
3901,2022-07-28,1431,1,104,Field Sales,Fulfilled,2022-08-02,0.1
3937,2022-11-04,12,1,83,Online,Fulfilled,2022-11-06,0.0
3942,2022-05-11,865,1,161,Field Sales,Fulfilled,2022-05-16,0.0
3948,2022-03-17,106,1,279,Online,Fulfilled,2022-03-20,0.0
3952,2022-08-17,1011,1,161,Phone,Returned,2022-08-18,0.0
4010,2022-10-12,1732,1,83,Online,Fulfilled,2022-10-17,0.15
4021,2022-03-22,484,1,279,Field Sales,Fulfilled,2022-03-25,0.0
4041,2022-11-22,1007,1,2,Field Sales,Fulfilled,2022-11-27,0.0
4073,2022-12-13,2126,1,104,Field Sales,Fulfilled,2022-12-17,0.1
4085,2022-01-02,1486,1,6,Field Sales,Fulfilled,2022-01-07,0.0
4110,2022-10-28,915,1,3,Phone,Fulfilled,2022-10-31,0.0
4130,2022-12-30,2016,1,7,Field Sales,Fulfilled,2023-01-02,0.0
4165,2022-03-23,1055,1,83,Phone,Cancelled,,0.1
4174,2022-09-30,1856,1,238,Phone,Fulfilled,2022-10-05,0.1
4180,2022-09-15,2164,1,83,Phone,Fulfilled,2022-09-18,0.1
4187,2022-10-05,671,1,161,Phone,Fulfilled,2022-10-08,0.15
4190,2022-07-06,979,1,238,Field Sales,Fulfilled,2022-07-09,0.1
4198,2022-12-15,545,1,6,Field Sales,Fulfilled,2022-12-16,0.05
4207,2022-01-02,2413,1,6,Phone,Fulfilled,2022-01-07,0.1
4218,2022-08-17,89,1,83,Field Sales,Fulfilled,2022-08-20,0.0
4236,2022-11-15,1509,1,279,Phone,Fulfilled,2022-11-20,0.05
4274,2022-10-26,1450,1,83,Field Sales,Fulfilled,2022-10-27,0.1
4279,2022-09-06,2308,1,2,Field Sales,Fulfilled,2022-09-10,0.0
4287,2022-02-10,2259,1,279,Field Sales,Fulfilled,2022-02-13,0.0
4288,2022-02-08,789,1,279,Phone,Fulfilled,2022-02-11,0.0
4296,2022-03-29,2108,1,18,Phone,Fulfilled,2022-03-30,0.0
4301,2022-11-20,404,1,2,Online,Fulfilled,2022-11-22,0.05
4315,2022-07-16,1281,1,104,Phone,Fulfilled,2022-07-21,0.0
4316,2022-02-23,1049,1,7,Phone,Fulfilled,2022-02-24,0.0
4355,2022-02-10,585,1,6,Phone,Fulfilled,2022-02-15,0.1
4358,2022-03-30,778,1,5,Phone,Fulfilled,2022-04-03,0.0
4359,2022-05-29,1435,1,2,Online,Fulfilled,2022-05-30,0.1
4369,2022-05-21,1459,1,5,Field Sales,Fulfilled,2022-05-26,0.0
4372,2022-02-09,400,1,161,Phone,Fulfilled,2022-02-13,0.0
4399,2022-09-16,1130,1,7,Field Sales,Fulfilled,2022-09-18,0.0
4419,2022-01-11,471,1,7,Online,Cancelled,,0.0
4424,2022-09-13,1973,1,18,Field Sales,Fulfilled,2022-09-16,0.0
4429,2022-11-07,134,1,2,Phone,Fulfilled,2022-11-09,0.0
4463,2022-01-09,1133,1,5,Phone,Returned,2022-01-11,0.0
4473,2022-12-27,2080,1,104,Field Sales,Fulfilled,2022-12-31,0.05
4480,2022-03-18,643,1,238,Field Sales,Fulfilled,2022-03-21,0.0
4513,2022-06-21,2132,1,3,Phone,Fulfilled,2022-06-26,0.0
4517,2022-08-04,457,1,6,Online,Fulfilled,2022-08-06,0.05
4522,2022-06-10,1685,1,83,Phone,Fulfilled,2022-06-14,0.1
4530,2022-01-16,2244,1,3,Field Sales,Cancelled,,0.05
4552,2022-02-09,743,1,83,Phone,Fulfilled,2022-02-14,0.0
4553,2022-06-04,2176,1,279,Phone,Fulfilled,2022-06-07,0.0
4584,2022-10-14,976,1,3,Field Sales,Fulfilled,2022-10-15,0.0
4588,2022-01-30,1271,1,2,Phone,Returned,2022-02-01,0.1
4593,2022-02-01,1509,1,161,Phone,Fulfilled,2022-02-04,0.0
4606,2022-02-14,325,1,238,Phone,Fulfilled,2022-02-15,0.0
4608,2022-11-25,2240,1,104,Field Sales,Fulfilled,2022-11-30,0.15
4646,2022-03-24,543,1,238,Field Sales,Fulfilled,2022-03-29,0.0
4654,2022-03-08,675,1,6,Field Sales,Fulfilled,2022-03-11,0.1
4656,2022-09-13,456,1,3,Phone,Fulfilled,2022-09-17,0.0
4662,2022-02-23,1910,1,6,Field Sales,Fulfilled,2022-02-24,0.0
4701,2022-07-04,793,1,5,Online,Fulfilled,2022-07-05,0.05
4704,2022-08-08,2165,1,83,Field Sales,Returned,2022-08-13,0.1
4732,2022-02-02,484,1,18,Field Sales,Fulfilled,2022-02-05,0.0
4733,2022-08-08,1799,1,238,Online,Fulfilled,2022-08-11,0.0
4736,2022-04-20,1037,1,104,Phone,Fulfilled,2022-04-22,0.0
4756,2022-03-15,883,1,238,Online,Fulfilled,2022-03-16,0.0
4757,2022-11-11,2154,1,7,Field Sales,Fulfilled,2022-11-15,0.05
4765,2022-12-27,1246,1,238,Field Sales,Fulfilled,2023-01-01,0.0
4782,2022-05-12,1093,1,238,Phone,Fulfilled,2022-05-17,0.05
4829,2022-09-29,1268,1,279,Field Sales,Fulfilled,2022-10-01,0.0
4833,2022-11-07,1222,1,238,Phone,Fulfilled,2022-11-11,0.05
4837,2022-10-20,1489,1,238,Field Sales,Cancelled,,0.0
4841,2022-11-26,1844,1,83,Phone,Fulfilled,2022-11-29,0.1
