Date,Client,Rep,Product,Qty,Total $,Notes
11/22/22,Redwood Nonprofi Solutions,161,Standard Assorted Construction 126gsm (1000 t),4,36.28,
04/01/22,Redwood Technology Corp,238,Standad Pink Newsprint 53gsm (250 ct),27,152.28,call before ship
08/26/22,Keystone Nonprofit Enterprises,238,Standard Yellow Colored Copy 86gsm (000 ct),~48,302.74,
04/21/22,Northstar Financial Assoiates,2,Premium Assorted Glossy Photo 171gsm (500 ct),38,703.38,
08/16/22,Riverside Healthcare Co,6,Premium Bright White Cardstock 224gsm (250 ct),29,447.4,
05/06/22,Oakfield Govrnment Co,2,Standard White Newsprint 52gsm (500 ct),11,38.12,check w/ Dwight
10/20/22,Harbor Healthcare Services,238,Standard Pik Newsprint 53gsm (250 ct),a dozen,321.6,call before ship
11/07/22,Liberty Legal Inc,238,Standard Bright White Newsprint 45gsm (250 ct),29,106.43,rush order
04/04/22,Cornerstone Construction Solutions,83,Economy Assorted Glossy Phto 183gsm (500 ct),36,577.08,
07/27/22,Pioneer Manufacturing Corp,2,Standard Assorted Construction 97gsm (1000 ct),18,140.22,net-30
11/29/22,Harbor Healthcare Enterprises,7,Economy Pink Glossy Photo 196gsm (1000 ct),~8,113.68,repeat client
04/22/22,Brightwater Real Co,104,Standard Ivory Ledger 126gsm (250 ct),63,761.67,
08/11/22,Irowood Legal Group,3,Economy Cream Construction 107gsm (1000 ct),34,241.4,
11/12/22,Meadowrook Government Corp,2,Economy Cream Recycled Copy 85gsm (100 ct),58,359.6,repeat client
12/05/22,Meadowbrook Technology Co,2,Standard Cream Glossy Photo 255gsm (500 ct),19,358.53,check w/ Dwight
11/26/22,Maple Technology Associates,18,Premium Yellow Ledger 145gsm (1000 ct),4,62.64,check w/ Dwight
08/20/22,Ridgeline Healthcare Group,6,Standard Cream Copy Paper 86gsm (1000 ct),7,43.49,rush order
09/01/22,Cornerstone Retail Associates,6,Economy Ivory Legal Pad 71gsm (500 ct),9,57.6,
11/09/22,Silverton Technology Services,18,Premium Assorted Glossy Photo 171gsm (500 ct),10,214.94,
01/05/22,Meadowbrook Technology Partners,5,Economy White Letterhead 115gsm (1000 ct),28,247.8,check w/ Dwight
06/03/22,Whitmore Hospitality Partners,7,Premium White Cardstock 276gsm (250 c),11,232.54,call before ship
03/24/22,Cornerstone Hospitaliy Partners,279,Economy Bright White Recycled Copy 72gsm (250 ct),12,49.37,call before ship
06/11/22,Hllcrest Retail Partners,3,Standard Assorted Newsprint 50gsm (500 ct),16,66.7,
07/06/22,Evergreen EducationLLC,238,Premium Pink Textured 189gsm (1000 ct),8,131.92,call before ship
04/19/22,Meadowbrook Financial Solutions,3,Economy Cream Construction107gsm (1000 ct),~6,46.86,
07/20/22,Keystone Rtail Co,3,Premium Yellow Ledger 15gsm (1000 ct),55,774.95,
04/07/22,Sterling Real Co,83,Economy Yellow Glossy Photo 210gsm (500 ct),24,409.44,repeat client
11/07/22,Oakfield Education Group,2,Econom Yellow Letterhead 100gsm (250 ct),5,40.85,
12/06/22,Meadowbrook Retail Services,161,Standard White Textured 197gsm (500 ct),22,379.21,
12/09/22,Pioneer RealPartners,5,Premium White Cardstock 276gsm (250 ct),14,311.5,repeat client
07/26/22,Cascade Education Corp,2,Economy Ivory Txtured 163gsm (250 ct),27,401.84,net-30
12/08/22,Evergreen Construction Services,18,Economy Assorted Reycled Copy 74gsm (1000 ct),21,109.26,net-30
05/27/22,Evergreen Manufacturing Group,18,Standard Cream Envelope 87gsm (25 ct),134,1159.1,call before ship
10/04/22,Ridgeline Financial LLC,18,Standard Pink Newsprint 50gsm (500 ct),9,39.78,check w/ Dwight
02/11/22,Redwood Hospitality Corp,3,Premium Assorted Construction 130gsm (250 ct),a dozen,455.2,rush order
04/04/22,Riverside Technology Group,3,Economy Ivory Glossy Photo 225gsm (1000 ct),12,178.81,repeat client
11/01/22,Northstar Eduction Inc,104,Standrd Cream Cardstock 249gsm (1000 ct),23,363.63,call before ship
07/28/22,Cornerstone Financial Partners,104,Premium Pink Letterhead 98gsm (1000 ct),8,92.4,call before ship
06/29/22,Granite Technology Solutions,5,Economy Blue Ledger 134gsm(500 ct),15,156.9,
12/29/22,Hillcrest Education Corp,7,Standard Bright White Construction 136gsm (500 ct),13,132.56,
12/01/22,Summit Hospitality Enterprises,161,Economy Ivory extured 163gsm (250 ct),a dozen,368.02,check w/ Dwight
10/26/22,PioneerRetail Inc,3,Standard Bright White Leal Pad 65gsm (500 ct),32,181.15,net-30
07/06/22,Evergreen Manufacturing Partners,83,Economy Ivory Glossy Photo 225gsm (1000 ct),44,732.6,
09/27/22,Silverton Manufacturing Inc,18,Standard Crea Glossy Photo 255gsm (500 ct),15,298.8,rush order
02/17/22,Pioneer Education Services,18,Premium Assorted Ledger 135gsm (1000 ct),8,125.31,check w/ Dwight
09/26/22,Ironwood Legal Partners,161,Standard ellow Colored Copy 86gsm (1000 ct),12,89.04,
04/21/22,Pioneer HospitalityCo,279,Economy Ivory Glossy Photo 225gsm (1000 ct),27,494.51,net-30
08/02/22,Riverside Manufacturing LLC,104,Economy White Copy Papr 86gsm (250 ct),42,220.92,rush order
01/30/22,Granite Manufacturing Solutions,3,Economy Bright White Ledger 99gsm (500 ct),11,106.12,call before ship
03/15/22,Harbor Healthcare Solutions,238,Premium Cream Colored Copy 76gsm (250 ct),41,505.57,net-30
11/15/22,Oakfield Technology Partners,104,Premium Assorted Letterhead 115gsm (500 ct),14,177.52,call before ship
09/20/22,Ridgeline Healthcare Services,7,Economy Ivory Glossy Phot 225gsm (1000 ct),37,648.61,call before ship
10/24/22,Cornerstone Legal Associates,238,Economy Pink Cardstock 192gsm (1000 ct),15,140.38,
10/26/22,Silverton Construction Inc,5,Economy Ivory Colored Copy 80gsm (1000 ct),5,33.45,net-30
08/24/22,Cornerstone Legal Associates,238,Economy White Copy Paper 86gsm (250 ct),44,231.44,
09/26/22,Slverton Education LLC,3,Standard Cream Cardstock 249gsm (1000 ct),~30,499.2,repeat client
09/21/22,Pioneer Construction Services,279,Economy Bright White Recycled Copy 72gsm (250 ct),6,30.54,
09/20/22,Riverside Government Associates,279,Standard White Textured 19gsm (500 ct),8,119.12,net-30
06/27/22,Silverton Construction Partners,279,Premium Assorted Cardstock 181gsm (1000 ct),15,268.12,
04/06/22,Harbor Construction Enterprises,83,Premium Pink Textred 189gsm (1000 ct),19,330.6,call before ship
02/21/22,Brightwater Financial Associates,161,Premium Assorted Recycled Copy 78gsm (500 ct),68,593.61,rush order
11/14/22,Summit Retail Solutions,7,Standard Yellow Textured 123gsm (50 ct),19,278.81,check w/ Dwight
10/27/22,Summit Technology Solutions,5,Premium Blue Ledger 121gsm (250 ct),12,142.92,net-30
07/11/22,Fairview Lega Services,83,Premium hite Letterhead 116gsm (500 ct),44,442.82,net-30
04/05/22,Silverton Nonprofit Corp,161,Economy Assorted Copy Paper 75gsm (500 ct),29,124.7,repeat client
02/22/22,Silverton Halthcare Co,3,Premium Bright White Glossy Photo 249gsm (1000 ct),30,598.48,check w/ Dwight
02/13/22,Cornerstone Retail Partners,3,Economy Pink Legal Pad 79gsm (250 ct),28,195.27,net-30
12/06/22,Maple Hospitality Solutons,83,Economy Blue Ledger 134gsm (500 ct),18,188.28,
09/21/22,Apex Tchnology,6,Economy Assorted Newsprint 48gsm (500 ct),18,55.8,
04/21/22,Hillcrest Government Corp,161,Standard White Construction 120gsm (250 ct),a dozen,423.02,rush order
10/23/22,Ridgeline Healthcare Group,3,Standard Pink Newsprint 50gsm (50 ct),29,135.72,rush order
05/10/22,Ironwood Education nterprises,2,Standard Assorted Envelope 100gsm (1000 ct),11,98.12,repeat client
03/01/22,Evergreen Education LLC,83,Economy Cream Envelope 84gsm (250 ct),3,20.46,repeat client
12/23/22,Brightwater Financial Inc,238,Standard Cream Envelpe 87gsm (250 ct),26,224.9,
11/07/22,Harbor Healthcare Group,238,Stndard Bright White Legal Pad 65gsm (500 ct),72,452.88,call before ship
07/21/22,Hillcrest Legal Group,238,Economy Cream Recycled Copy 80gsm (500 ct),15,69.0,rush order
06/20/22,Meadowbrook Manufacturing Inc,5,Premium White Cardstock 276gsm (250 ct),50,1057.0,
07/05/22,Brightwater Construction nterprises,83,Standard Assorted Newsprint 50gsm (500 ct),26,109.46,
11/10/22,HarborHealthcare Group,18,Premium Ivory Legal Pad 76gsm (1000 ct),~28,280.0,net-30
11/15/22,Redwood Construction Enterprises,7,Premium Pink Leterhead 96gsm (500 ct),109,1313.45,
01/27/22,Brightwater Retail LLC,7,Standard Yellow Construction 93gsm (1000 ct),20,183.0,repeat client
05/25/22,Fairview Manufacturing Co,279,Economy Assorted Copy Paper 83gsm (500 ct),9,47.07,repeat client
09/21/22,Pioneer Retail Services,2,Stanard Pink Letterhead 95gsm (1000 ct),52,430.07,
02/15/22,Pioneer Real Enterprises,3,Premium Bright White Glossy Photo 249gsm (1000 ct),129,3027.63,repeat client
11/18/22,Norhstar Real Enterprises,104,Economy Cream Envelope 84gsm (250 ct),13,75.36,
12/09/22,Brightwater Financial Partners,18,Economy Assortd Copy Paper 87gsm (250 ct),11,52.45,
07/22/22,Evergreen Education LLC,238,Economy Bright White Recycled Copy 72gsm (250 ct),3,13.74,net-30
04/26/22,Sterling Retail Inc,3,Premium White Letterhead 116gsm (500 ct),12,142.08,
10/11/22,Brightwater Hospitality Solutions,7,Standard Assorted Envelope 89gsm (250 ct),~36,319.32,call before ship
12/20/22,Krieger-urphy,5,Standard White Newsprint 52gsm (00 ct),45,166.5,repeat client
12/21/22,Granite Government Inc,161,Economy Blue Ledger 146gsm(1000 ct),14,151.62,net-30
12/12/22,Keystone Hospitality Corp,238,Premium Yellow Textured 123gsm (250 ct),10,139.8,call before ship
03/30/22,Liberty Retail Co,83,Economy Assorted Recycled Copy 74gsm (1000 ct),24,113.52,call before ship
08/31/22,Brightwater Manufacturing Inc,5,Economy Pink Legal ad 70gsm (500 ct),16,84.8,call before ship
03/11/22,Ironood Government Inc,83,Premium Yellow Textured 123gsm 250 ct),31,409.22,call before ship
