machine_id,date,temp_mean,vib_mean,pres_mean,cur_mean,hum_mean,temp_mean_roll7,temp_mean_roll7_std,vib_mean_roll7,vib_mean_roll7_std,pres_mean_roll7,pres_mean_roll7_std,cur_mean_roll7,cur_mean_roll7_std,units_produced,scrap_units,machine_type,criticality,rated_capacity_units_hr,machine_age_days,days_since_maintenance,failed_within_7_days
1,2022-01-16,58.987,2.202,81.56,33.47,34.067,60.055,1.813,2.585,0.52,88.649,7.198,33.436,0.881,4135.0,350.0,Wrapper,2,600,2512,3.0,0
1,2022-01-17,59.583,2.203,84.913,34.303,31.7,59.595,1.35,2.481,0.512,87.514,7.049,33.473,0.916,0.0,0.0,Wrapper,2,600,2513,4.0,0
1,2022-01-18,59.107,2.208,84.457,33.893,31.7,59.256,1.065,2.358,0.446,85.889,6.051,33.44,0.892,6496.0,119.0,Wrapper,2,600,2514,5.0,0
1,2022-01-19,59.71,2.362,81.05,33.143,35.467,59.02,0.603,2.215,0.077,83.267,1.439,33.261,0.787,8023.0,147.0,Wrapper,2,600,2515,6.0,0
1,2022-01-20,58.323,2.286,82.9,31.68,33.567,58.976,0.645,2.233,0.077,83.154,1.432,32.995,0.97,4551.0,63.0,Wrapper,2,600,2516,7.0,0
1,2022-01-21,58.623,2.1,83.767,32.443,36.533,58.894,0.649,2.211,0.091,83.15,1.43,33.033,0.938,1875.0,51.0,Wrapper,2,600,2517,8.0,0
1,2022-01-22,58.29,2.082,82.873,33.497,33.433,58.946,0.569,2.206,0.098,83.074,1.428,33.204,0.889,1387.0,23.0,Wrapper,2,600,2518,9.0,0
1,2022-01-23,59.34,2.217,84.533,32.767,31.633,58.997,0.588,2.209,0.098,83.499,1.342,33.104,0.894,0.0,0.0,Wrapper,2,600,2519,10.0,0
1,2022-01-24,59.923,1.955,87.46,33.167,33.8,59.045,0.655,2.173,0.137,83.863,1.982,32.941,0.728,0.0,0.0,Wrapper,2,600,2520,0.0,0
1,2022-01-25,58.753,2.163,85.82,31.393,33.5,58.995,0.663,2.167,0.136,84.058,2.113,32.584,0.793,0.0,0.0,Wrapper,2,600,2521,1.0,0
1,2022-01-26,58.597,2.175,85.953,33.73,35.4,58.836,0.593,2.14,0.107,84.758,1.727,32.668,0.887,2210.0,51.0,Wrapper,2,600,2522,2.0,0
1,2022-01-27,57.88,2.266,83.443,31.577,32.233,58.772,0.674,2.137,0.102,84.836,1.64,32.653,0.907,4429.0,54.0,Wrapper,2,600,2523,3.0,0
1,2022-01-28,58.29,2.118,87.103,34.373,34.7,58.725,0.698,2.14,0.101,85.312,1.758,32.929,1.105,0.0,0.0,Wrapper,2,600,2524,4.0,0
1,2022-01-29,59.987,2.28,83.55,33.08,33.133,58.967,0.808,2.168,0.11,85.409,1.614,32.87,1.08,0.0,0.0,Wrapper,2,600,2525,5.0,0
1,2022-01-30,58.64,2.102,84.327,32.03,33.667,58.867,0.797,2.151,0.11,85.38,1.634,32.764,1.126,6140.0,142.0,Wrapper,2,600,2526,6.0,0
1,2022-01-31,58.43,2.085,82.99,33.817,34.167,58.654,0.655,2.17,0.077,84.741,1.557,32.857,1.19,0.0,0.0,Wrapper,2,600,2527,7.0,0
1,2022-02-01,59.507,2.368,84.853,32.997,33.6,58.761,0.731,2.199,0.107,84.603,1.487,33.086,1.001,5473.0,65.0,Wrapper,2,600,2528,8.0,0
1,2022-02-02,58.09,2.205,83.953,32.887,35.1,58.689,0.774,2.204,0.107,84.317,1.372,32.966,0.96,4325.0,95.0,Wrapper,2,600,2529,9.0,0
1,2022-02-03,58.98,2.242,85.173,32.72,34.833,58.846,0.689,2.2,0.105,84.564,1.344,33.129,0.761,2320.0,27.0,Wrapper,2,600,2530,10.0,0
1,2022-02-04,59.037,2.23,85.173,33.213,34.833,58.953,0.645,2.216,0.099,84.289,0.84,32.963,0.539,0.0,0.0,Wrapper,2,600,2531,11.0,0
1,2022-02-05,59.05,2.04,84.213,33.73,36.6,58.819,0.468,2.182,0.113,84.383,0.778,33.056,0.613,0.0,0.0,Wrapper,2,600,2532,12.0,0
1,2022-02-06,58.74,2.241,85.117,32.777,36.5,58.833,0.463,2.202,0.109,84.496,0.824,33.163,0.447,5031.0,90.0,Wrapper,2,600,2533,13.0,0
1,2022-02-07,58.667,2.046,81.333,33.363,34.4,58.867,0.437,2.196,0.117,84.26,1.379,33.098,0.362,0.0,0.0,Wrapper,2,600,2534,14.0,0
1,2022-02-08,59.097,2.262,84.79,32.337,32.267,58.809,0.357,2.181,0.096,84.25,1.375,33.004,0.464,2559.0,46.0,Wrapper,2,600,2535,15.0,0
1,2022-02-09,59.58,2.176,86.25,32.21,35.333,59.021,0.296,2.177,0.095,84.579,1.555,32.907,0.554,2240.0,48.0,Wrapper,2,600,2536,16.0,0
1,2022-02-10,57.56,2.09,81.847,32.61,34.067,58.819,0.629,2.155,0.095,84.103,1.827,32.891,0.562,0.0,0.0,Wrapper,2,600,2537,17.0,0
1,2022-02-11,58.877,2.234,86.267,33.163,33.867,58.796,0.622,2.155,0.095,84.26,1.975,32.884,0.557,6408.0,91.0,Wrapper,2,600,2538,18.0,0
1,2022-02-12,59.75,2.19,84.59,32.14,35.533,58.896,0.719,2.177,0.081,84.313,1.978,32.657,0.473,2279.0,67.0,Wrapper,2,600,2539,19.0,0
1,2022-02-13,58.187,2.21,83.017,32.847,38.067,58.817,0.768,2.172,0.078,84.013,1.995,32.667,0.477,0.0,0.0,Wrapper,2,600,2540,20.0,0
1,2022-02-14,58.69,2.154,83.543,32.72,37.1,58.82,0.767,2.188,0.056,84.329,1.645,32.575,0.37,0.0,0.0,Wrapper,2,600,2541,21.0,0
1,2022-02-15,58.65,2.332,85.883,32.133,33.333,58.756,0.758,2.198,0.075,84.485,1.744,32.546,0.399,2541.0,56.0,Wrapper,2,600,2542,22.0,0
1,2022-02-16,59.85,2.26,85.923,32.733,33.5,58.795,0.812,2.21,0.077,84.439,1.693,32.621,0.373,0.0,0.0,Wrapper,2,600,2543,23.0,0
1,2022-02-17,58.7,2.303,83.72,31.887,34.467,58.958,0.613,2.24,0.063,84.706,1.323,32.518,0.466,5995.0,78.0,Wrapper,2,600,2544,24.0,0
1,2022-02-18,60.09,2.155,87.187,33.047,34.533,59.131,0.744,2.229,0.071,84.838,1.533,32.501,0.44,4945.0,100.0,Wrapper,2,600,2545,25.0,0
1,2022-02-19,59.167,2.157,86.27,33.847,35.7,59.048,0.694,2.224,0.075,85.078,1.617,32.745,0.636,0.0,0.0,Wrapper,2,600,2546,26.0,0
1,2022-02-20,57.997,2.263,81.31,34.57,36.4,59.02,0.736,2.232,0.076,84.834,2.05,32.991,0.942,4081.0,74.0,Wrapper,2,600,2547,27.0,0
1,2022-02-21,59.423,2.269,85.41,34.19,38.7,59.125,0.733,2.249,0.068,85.1,1.974,33.201,1.031,0.0,0.0,Wrapper,2,600,2548,28.0,0
1,2022-02-22,58.723,2.342,83.377,32.323,35.9,59.136,0.726,2.25,0.07,84.742,2.035,33.228,1.0,0.0,0.0,Wrapper,2,600,2549,29.0,0
1,2022-02-23,59.02,2.2,83.277,33.173,38.2,59.017,0.654,2.241,0.072,84.364,2.025,33.291,0.978,3128.0,74.0,Wrapper,2,600,2550,30.0,0
1,2022-02-24,59.223,2.355,84.89,32.59,36.767,59.092,0.642,2.249,0.082,84.531,2.011,33.391,0.835,0.0,0.0,Wrapper,2,600,2551,31.0,0
1,2022-02-25,58.457,2.266,83.73,32.51,36.2,58.859,0.499,2.265,0.071,84.038,1.64,33.315,0.894,1098.0,26.0,Wrapper,2,600,2552,0.0,0
1,2022-02-26,57.223,2.224,84.803,32.393,36.967,58.581,0.768,2.274,0.057,83.828,1.381,33.107,0.919,0.0,0.0,Wrapper,2,600,2553,1.0,0
1,2022-02-27,58.403,2.114,84.747,32.307,37.267,58.639,0.731,2.253,0.084,84.319,0.842,32.784,0.687,0.0,0.0,Wrapper,2,600,2554,2.0,0
1,2022-02-28,58.55,2.218,84.203,31.857,36.833,58.514,0.644,2.245,0.084,84.147,0.692,32.45,0.395,0.0,0.0,Wrapper,2,600,2555,3.0,0
1,2022-03-01,58.687,2.265,85.687,33.32,37.967,58.509,0.642,2.234,0.074,84.477,0.805,32.593,0.506,5282.0,105.0,Wrapper,2,600,2556,4.0,0
1,2022-03-02,58.423,2.284,85.007,31.827,37.133,58.424,0.601,2.246,0.074,84.724,0.619,32.4,0.505,6942.0,136.0,Wrapper,2,600,2557,5.0,0
1,2022-03-03,59.88,2.106,84.76,33.523,36.733,58.518,0.773,2.211,0.073,84.705,0.615,32.534,0.662,6362.0,180.0,Wrapper,2,600,2558,6.0,0
1,2022-03-04,59.553,2.24,84.91,33.48,37.933,58.674,0.864,2.207,0.07,84.874,0.44,32.672,0.751,0.0,0.0,Wrapper,2,600,2559,7.0,0
1,2022-03-05,59.26,2.397,84.86,32.147,39.967,58.965,0.596,2.232,0.101,84.882,0.439,32.637,0.772,0.0,0.0,Wrapper,2,600,2560,8.0,0
1,2022-03-06,59.623,2.287,85.7,32.46,40.4,59.14,0.582,2.257,0.087,85.018,0.529,32.659,0.763,5312.0,85.0,Wrapper,2,600,2561,9.0,0
1,2022-03-07,59.49,2.234,83.98,32.31,38.467,59.274,0.53,2.259,0.086,84.986,0.59,32.724,0.701,6823.0,120.0,Wrapper,2,600,2562,10.0,0
1,2022-03-08,57.083,2.478,83.373,33.887,41.1,59.045,0.981,2.289,0.12,84.656,0.756,32.805,0.806,0.0,0.0,Wrapper,2,600,2563,11.0,0
1,2022-03-09,58.153,2.128,84.563,33.743,36.967,59.006,1.014,2.267,0.135,84.592,0.74,33.079,0.741,1500.0,18.0,Wrapper,2,600,2564,12.0,0
1,2022-03-10,57.827,2.114,84.603,33.883,38.2,58.713,1.016,2.268,0.133,84.57,0.737,33.13,0.788,0.0,0.0,Wrapper,2,600,2565,13.0,0
1,2022-03-11,58.75,2.387,85.473,33.01,39.8,58.598,0.948,2.289,0.139,84.65,0.808,33.063,0.773,0.0,0.0,Wrapper,2,600,2566,14.0,0
1,2022-03-12,59.54,2.366,83.433,33.117,37.167,58.638,0.986,2.285,0.136,84.447,0.918,33.201,0.66,4441.0,92.0,Wrapper,2,600,2567,15.0,0
1,2022-03-13,58.37,2.28,84.847,32.293,39.667,58.459,0.886,2.284,0.136,84.325,0.769,33.178,0.694,3422.0,78.0,Wrapper,2,600,2568,16.0,0
1,2022-03-14,58.273,2.227,86.357,33.43,38.167,58.285,0.76,2.283,0.136,84.664,1.06,33.338,0.58,1733.0,46.0,Wrapper,2,600,2569,17.0,0
1,2022-03-15,58.837,2.102,85.327,33.473,41.433,58.536,0.561,2.229,0.12,84.943,0.911,33.279,0.534,4861.0,128.0,Wrapper,2,600,2570,18.0,0
1,2022-03-16,58.487,2.123,86.313,33.67,40.333,58.583,0.537,2.229,0.12,85.193,1.022,33.268,0.524,0.0,0.0,Wrapper,2,600,2571,19.0,0
1,2022-03-17,58.323,2.125,85.177,32.373,38.133,58.654,0.445,2.23,0.119,85.275,0.99,33.052,0.539,0.0,0.0,Wrapper,2,600,2572,20.0,0
1,2022-03-18,59.017,2.243,83.04,33.573,39.333,58.692,0.466,2.21,0.098,84.928,1.29,33.133,0.573,6918.0,80.0,Wrapper,2,600,2573,21.0,0
1,2022-03-19,58.81,2.303,85.48,34.49,40.767,58.588,0.295,2.201,0.083,85.22,1.115,33.329,0.768,0.0,0.0,Wrapper,2,600,2574,22.0,0
1,2022-03-20,59.887,2.309,86.023,33.393,39.4,58.805,0.553,2.205,0.088,85.388,1.138,33.486,0.619,5647.0,121.0,Wrapper,2,600,2575,23.0,0
1,2022-03-21,58.027,2.291,86.29,33.493,42.533,58.77,0.598,2.214,0.094,85.379,1.129,33.495,0.619,0.0,0.0,Wrapper,2,600,2576,24.0,0
1,2022-03-22,59.187,2.25,84.527,33.663,41.467,58.82,0.619,2.235,0.08,85.264,1.174,33.522,0.622,5081.0,108.0,Wrapper,2,600,2577,25.0,0
1,2022-03-23,58.287,2.23,87.253,31.21,41.733,58.791,0.641,2.25,0.063,85.399,1.354,33.171,1.063,0.0,0.0,Wrapper,2,600,2578,26.0,0
1,2022-03-24,60.28,2.303,86.363,32.76,41.1,59.07,0.808,2.276,0.033,85.568,1.395,33.226,1.024,6415.0,140.0,Wrapper,2,600,2579,27.0,1
1,2022-03-25,60.073,2.461,84.46,32.86,45.133,59.221,0.891,2.307,0.074,85.771,1.019,33.124,1.019,4930.0,114.0,Wrapper,2,600,2580,28.0,1
1,2022-03-26,62.277,2.827,86.55,32.943,42.633,59.717,1.426,2.382,0.21,85.924,1.048,32.903,0.822,2452.0,40.0,Wrapper,2,600,2581,29.0,1
1,2022-03-27,63.437,2.739,85.027,34.067,44.5,60.224,2.009,2.443,0.245,85.781,1.099,33.0,0.922,0.0,0.0,Wrapper,2,600,2582,30.0,1
1,2022-03-28,64.38,3.127,85.76,34.66,41.733,61.131,2.269,2.563,0.343,85.706,1.076,33.166,1.112,2680.0,200.0,Wrapper,2,600,2583,31.0,1
1,2022-03-29,67.65,3.136,88.28,33.673,44.367,62.34,3.146,2.689,0.371,86.242,1.302,33.168,1.113,1486.0,110.0,Wrapper,2,600,2584,0.0,1
1,2022-03-30,67.28,3.265,88.057,33.303,42.867,63.625,3.049,2.837,0.364,86.357,1.435,33.467,0.706,4834.0,381.0,Wrapper,2,600,2585,1.0,1
1,2022-03-31,58.727,2.206,82.55,33.98,41.233,63.403,3.373,2.823,0.388,85.812,2.032,33.641,0.651,2724.0,227.0,Wrapper,2,600,2586,0.0,0
1,2022-04-01,58.87,2.187,87.263,34.003,42.5,63.231,3.594,2.784,0.441,86.212,1.997,33.804,0.56,3667.0,308.0,Wrapper,2,600,2587,1.0,0
1,2022-04-02,59.477,2.238,85.14,34.67,46.133,62.831,3.864,2.7,0.486,86.011,2.028,34.051,0.494,0.0,0.0,Wrapper,2,600,2588,2.0,0
1,2022-04-03,60.123,2.077,84.113,34.163,42.1,62.358,3.978,2.605,0.538,85.88,2.129,34.065,0.496,1791.0,145.0,Wrapper,2,600,2589,3.0,0
1,2022-04-04,58.927,2.295,84.247,33.403,44.033,61.579,4.05,2.486,0.494,85.664,2.218,33.885,0.471,2966.0,34.0,Wrapper,2,600,2590,4.0,0
1,2022-04-05,58.227,2.259,85.437,34.18,48.167,60.233,3.165,2.361,0.405,85.258,1.896,33.958,0.472,3703.0,96.0,Wrapper,2,600,2591,5.0,0
1,2022-04-06,58.963,2.255,85.637,33.017,42.933,59.045,0.602,2.217,0.071,84.912,1.474,33.917,0.545,0.0,0.0,Wrapper,2,600,2592,6.0,0
1,2022-04-07,58.69,2.253,86.837,33.96,45.467,59.04,0.605,2.223,0.072,85.525,1.193,33.914,0.545,5656.0,106.0,Wrapper,2,600,2593,7.0,0
1,2022-04-08,58.153,2.147,85.647,33.457,42.433,58.937,0.693,2.218,0.077,85.294,0.927,33.836,0.568,0.0,0.0,Wrapper,2,600,2594,8.0,0
1,2022-04-09,58.673,2.342,87.277,32.72,43.933,58.822,0.654,2.233,0.09,85.599,1.184,33.557,0.569,3686.0,60.0,Wrapper,2,600,2595,9.0,0
1,2022-04-10,59.197,2.255,85.857,31.437,42.8,58.69,0.385,2.258,0.059,85.848,0.986,33.168,0.914,1328.0,21.0,Wrapper,2,600,2596,10.0,0
1,2022-04-11,59.59,2.152,85.53,33.42,44.133,58.785,0.513,2.238,0.068,86.031,0.723,33.17,0.915,3718.0,50.0,Wrapper,2,600,2597,11.0,1
1,2022-04-12,58.5,2.378,85.733,33.793,45.1,58.824,0.473,2.255,0.087,86.074,0.691,33.115,0.853,1643.0,18.0,Wrapper,2,600,2598,12.0,1
1,2022-04-13,60.597,2.489,90.053,34.067,46.733,59.057,0.825,2.288,0.124,86.705,1.619,33.265,0.922,0.0,0.0,Wrapper,2,600,2599,13.0,1
1,2022-04-14,60.2,2.914,92.23,33.093,46.267,59.273,0.906,2.383,0.265,87.475,2.648,33.141,0.87,5338.0,90.0,Wrapper,2,600,2600,14.0,1
1,2022-04-15,60.787,3.112,93.797,34.687,45.7,59.649,0.911,2.52,0.357,88.64,3.396,33.317,1.05,0.0,0.0,Wrapper,2,600,2601,15.0,1
1,2022-04-16,61.63,3.338,95.993,34.523,46.333,60.071,1.057,2.663,0.458,89.885,4.293,33.574,1.099,2714.0,194.0,Wrapper,2,600,2602,16.0,1
1,2022-04-17,61.87,3.475,97.163,35.16,47.0,60.453,1.165,2.837,0.507,91.5,4.638,34.106,0.732,6033.0,530.0,Wrapper,2,600,2603,17.0,1
1,2022-04-18,58.387,2.134,87.447,32.363,50.2,60.281,1.382,2.834,0.511,91.774,4.269,33.955,0.968,3081.0,255.0,Wrapper,2,600,2604,0.0,0
1,2022-04-19,58.777,2.27,87.247,32.783,44.633,60.321,1.326,2.819,0.528,91.99,3.937,33.811,1.067,5800.0,498.0,Wrapper,2,600,2605,1.0,0
1,2022-04-20,59.14,2.085,85.54,32.64,44.7,60.113,1.388,2.761,0.589,91.345,4.618,33.607,1.143,8100.0,584.0,Wrapper,2,600,2606,2.0,0
1,2022-04-21,58.927,2.341,85.34,33.703,46.0,59.931,1.457,2.679,0.604,90.361,5.106,33.694,1.121,5441.0,445.0,Wrapper,2,600,2607,3.0,0
1,2022-04-22,57.317,2.118,84.05,34.403,52.133,59.435,1.689,2.537,0.602,88.969,5.337,33.654,1.083,1780.0,27.0,Wrapper,2,600,2608,4.0,0
1,2022-04-23,58.557,2.212,84.47,32.4,45.567,58.996,1.397,2.377,0.493,87.322,4.524,33.35,1.096,6027.0,98.0,Wrapper,2,600,2609,5.0,0
1,2022-04-24,58.637,2.071,84.423,32.88,49.267,58.534,0.591,2.176,0.102,85.502,1.366,33.025,0.755,5180.0,106.0,Wrapper,2,600,2610,0.0,0
1,2022-04-25,58.34,2.202,84.13,33.41,48.833,58.528,0.593,2.186,0.1,85.029,1.134,33.174,0.704,5089.0,62.0,Wrapper,2,600,2611,1.0,0
1,2022-04-26,59.267,2.29,83.417,33.19,50.367,58.598,0.653,2.188,0.103,84.481,0.742,33.232,0.682,4759.0,93.0,Wrapper,2,600,2612,2.0,0
1,2022-04-27,58.52,2.281,86.64,32.21,49.5,58.509,0.608,2.216,0.097,84.639,1.054,33.171,0.76,0.0,0.0,Wrapper,2,600,2613,3.0,0
1,2022-04-28,58.36,2.032,85.057,33.37,49.6,58.428,0.58,2.172,0.101,84.598,1.028,33.123,0.731,4448.0,73.0,Wrapper,2,600,2614,4.0,0
1,2022-04-29,58.993,2.301,83.637,33.617,50.733,58.668,0.342,2.198,0.108,84.539,1.076,33.011,0.535,2850.0,30.0,Wrapper,2,600,2615,5.0,0
1,2022-04-30,59.077,2.166,83.033,32.16,47.433,58.742,0.369,2.192,0.108,84.334,1.219,32.977,0.586,3610.0,73.0,Wrapper,2,600,2616,6.0,0
1,2022-05-01,59.163,2.196,87.087,32.743,46.533,58.817,0.397,2.21,0.094,84.714,1.606,32.957,0.592,4707.0,85.0,Wrapper,2,600,2617,7.0,0
1,2022-05-02,59.033,2.077,83.63,32.75,50.2,58.916,0.341,2.192,0.107,84.643,1.646,32.863,0.56,3339.0,38.0,Wrapper,2,600,2618,8.0,0
1,2022-05-03,59.003,2.239,82.33,32.223,50.033,58.879,0.308,2.185,0.101,84.488,1.823,32.725,0.584,2411.0,66.0,Wrapper,2,600,2619,9.0,0
1,2022-05-04,57.83,2.269,84.46,32.243,51.767,58.78,0.496,2.183,0.099,84.176,1.562,32.73,0.579,0.0,0.0,Wrapper,2,600,2620,10.0,0
1,2022-05-05,59.41,2.114,86.013,34.187,49.233,58.93,0.506,2.195,0.081,84.313,1.688,32.846,0.778,2419.0,66.0,Wrapper,2,600,2621,11.0,0
1,2022-05-06,59.837,2.294,83.29,32.567,53.233,59.05,0.613,2.194,0.08,84.263,1.716,32.696,0.702,2811.0,49.0,Wrapper,2,600,2622,12.0,0
1,2022-05-07,59.08,2.262,84.7,32.857,49.6,59.051,0.613,2.207,0.083,84.501,1.631,32.796,0.662,3827.0,105.0,Wrapper,2,600,2623,13.0,0
1,2022-05-08,59.747,2.293,84.513,32.24,50.3,59.134,0.668,2.221,0.088,84.134,1.178,32.724,0.695,2881.0,32.0,Wrapper,2,600,2624,14.0,0
1,2022-05-09,57.093,2.131,82.997,33.867,50.167,58.857,1.024,2.229,0.075,84.043,1.245,32.883,0.819,6316.0,65.0,Wrapper,2,600,2625,15.0,0
1,2022-05-10,59.827,2.277,83.08,33.773,52.033,58.975,1.089,2.234,0.077,84.15,1.097,33.105,0.82,0.0,0.0,Wrapper,2,600,2626,16.0,0
1,2022-05-11,58.043,2.275,85.513,32.12,50.7,59.005,1.054,2.235,0.078,84.301,1.212,33.087,0.843,1734.0,29.0,Wrapper,2,600,2627,17.0,0
1,2022-05-12,58.56,2.003,84.967,33.697,49.767,58.884,1.049,2.219,0.111,84.151,1.014,33.017,0.752,0.0,0.0,Wrapper,2,600,2628,18.0,0
1,2022-05-13,59.133,2.377,86.547,33.46,50.233,58.783,0.973,2.231,0.124,84.617,1.269,33.145,0.738,1850.0,38.0,Wrapper,2,600,2629,19.0,0
1,2022-05-14,57.803,2.006,87.193,32.747,51.9,58.601,1.026,2.195,0.149,84.973,1.602,33.129,0.747,0.0,0.0,Wrapper,2,600,2630,20.0,0
1,2022-05-15,58.15,2.054,87.473,34.183,48.633,58.373,0.899,2.161,0.15,85.396,1.834,33.407,0.722,3046.0,47.0,Wrapper,2,600,2631,21.0,0
1,2022-05-16,59.25,2.252,82.067,32.813,53.5,58.681,0.743,2.178,0.153,85.263,2.057,33.256,0.72,5472.0,138.0,Wrapper,2,600,2632,22.0,0
1,2022-05-17,58.567,2.147,85.38,33.217,51.6,58.501,0.546,2.159,0.146,85.591,1.82,33.177,0.683,0.0,0.0,Wrapper,2,600,2633,23.0,0
1,2022-05-18,59.787,2.154,84.397,32.687,52.833,58.75,0.683,2.142,0.137,85.432,1.877,33.258,0.559,6371.0,105.0,Wrapper,2,600,2634,24.0,0
1,2022-05-19,58.947,2.331,84.173,33.293,52.9,58.805,0.681,2.189,0.138,85.319,1.932,33.2,0.526,4592.0,71.0,Wrapper,2,600,2635,25.0,0
1,2022-05-20,59.383,2.374,86.933,34.04,49.933,58.841,0.707,2.188,0.137,85.374,1.978,33.283,0.613,2640.0,31.0,Wrapper,2,600,2636,26.0,0
1,2022-05-21,58.18,2.259,87.493,32.64,50.933,58.895,0.624,2.224,0.112,85.417,2.027,33.268,0.629,1964.0,43.0,Wrapper,2,600,2637,27.0,0
1,2022-05-22,58.717,2.079,85.947,31.713,52.2,58.976,0.543,2.228,0.106,85.199,1.843,32.915,0.717,0.0,0.0,Wrapper,2,600,2638,28.0,0
1,2022-05-23,58.85,2.346,84.64,32.27,51.1,58.919,0.53,2.241,0.115,85.566,1.286,32.837,0.758,1907.0,48.0,Wrapper,2,600,2639,29.0,0
1,2022-05-24,57.847,2.273,85.17,34.227,55.233,58.816,0.663,2.259,0.108,85.536,1.294,32.981,0.921,2388.0,35.0,Wrapper,2,600,2640,30.0,0
1,2022-05-25,59.203,2.139,84.79,33.697,54.1,58.732,0.547,2.257,0.11,85.592,1.244,33.126,0.946,0.0,0.0,Wrapper,2,600,2641,31.0,0
1,2022-05-26,58.23,2.263,84.107,32.27,53.7,58.63,0.567,2.247,0.106,85.583,1.257,32.98,0.993,4152.0,59.0,Wrapper,2,600,2642,32.0,0
1,2022-05-27,59.763,2.429,86.37,30.82,55.0,58.684,0.661,2.255,0.118,85.502,1.171,32.52,1.153,0.0,0.0,Wrapper,2,600,2643,33.0,0
1,2022-05-28,58.55,2.016,85.777,33.843,56.433,58.737,0.628,2.221,0.149,85.257,0.808,32.691,1.259,1690.0,29.0,Wrapper,2,600,2644,0.0,0
1,2022-05-29,60.287,2.375,86.21,33.35,55.533,58.961,0.858,2.263,0.144,85.295,0.85,32.925,1.197,0.0,0.0,Wrapper,2,600,2645,1.0,0
1,2022-05-30,58.93,2.181,87.943,33.847,54.067,58.973,0.857,2.239,0.141,85.767,1.249,33.15,1.202,1846.0,41.0,Wrapper,2,600,2646,2.0,0
1,2022-05-31,57.653,2.142,85.49,34.423,56.1,58.945,0.901,2.221,0.145,85.812,1.229,33.179,1.233,2031.0,25.0,Wrapper,2,600,2647,3.0,0
1,2022-06-01,58.917,2.285,84.577,33.833,52.533,58.904,0.894,2.242,0.141,85.782,1.261,33.198,1.244,0.0,0.0,Wrapper,2,600,2648,4.0,0
1,2022-06-02,58.907,2.239,81.747,33.537,56.4,59.001,0.844,2.238,0.141,85.445,1.925,33.379,1.177,4933.0,76.0,Wrapper,2,600,2649,5.0,0
