ORDER_NO,CUST_ID,BRANCH,ORDER_DT,SHIP_DT,STATUS,AMT
ORD0061693,2012,1,07/08/2022,07/12/2022,FULFILLED,$288.89
ORD0009848,1010,1,04/04/2022,04/09/2022,FULFILLED,$516.94
ORD0048213,2076,1,03/02/2022,03/07/2022,FULFILLED,"$1,487.40"
ORD0029143,1252,1,06/22/2022,06/26/2022,FULFILLED,$131.56
ORD0048931,980,1,03/26/2022,03/30/2022,FULFILLED,"$1,126.93"
ORD0029906,2293,1,08/23/2022,08/27/2022,FULFILLED,$518.80
ORD0049767,1103,1,10/28/2022,10/30/2022,FULFILLED,"$3,290.12"
ORD0011637,85,1,07/22/2022,07/26/2022,FULFILLED,"$1,197.48"
ORD0029858,425,1,05/30/2022,05/31/2022,FULFILLED,$194.31
ORD0036708,1963,1,05/25/2022,05/26/2022,FULFILLED,$614.41
ORD0059020,1028,1,05/04/2022,05/09/2022,RETURNED,"$1,169.72"
ORD0000274,1878,1,07/15/2022,07/20/2022,FULFILLED,$433.88
ORD0000559,1884,1,05/28/2022,05/29/2022,FULFILLED,"$1,486.77"
ORD0045208,1331,1,11/25/2022,11/26/2022,RETURNED,"$1,614.26"
ORD0010751,952,1,05/27/2022,,CANCELLED,"$1,002.65"
ORD0056127,1387,1,01/17/2022,01/22/2022,FULFILLED,"$1,835.42"
ORD0013909,718,1,09/15/2022,09/19/2022,FULFILLED,$168.48
ORD0014059,1982,1,08/11/2022,08/14/2022,FULFILLED,$54.95
ORD0058624,1417,1,02/16/2022,02/19/2022,FULFILLED,$70.48
ORD0005570,559,1,09/02/2022,09/03/2022,FULFILLED,$58.62
ORD0009809,65,1,08/19/2022,08/22/2022,FULFILLED,$52.96
ORD0012443,1657,1,05/04/2022,05/06/2022,FULFILLED,$324.02
ORD0042940,554,1,11/04/2022,11/06/2022,FULFILLED,$703.91
ORD0001665,2258,1,03/22/2022,03/26/2022,FULFILLED,"$1,311.68"
ORD0049193,319,1,04/27/2022,05/01/2022,FULFILLED,$994.03
ORD0048856,2443,1,08/18/2022,08/20/2022,FULFILLED,$361.00
ORD0013857,468,1,03/03/2022,03/08/2022,FULFILLED,$967.45
ORD0038819,1188,1,11/02/2022,11/03/2022,FULFILLED,$146.54
ORD0069844,1586,1,08/25/2022,08/28/2022,FULFILLED,$948.67
ORD0058352,2417,1,06/04/2022,06/09/2022,FULFILLED,$440.37
ORD0056330,855,1,08/11/2022,08/12/2022,FULFILLED,$596.53
ORD0063717,191,1,06/24/2022,06/27/2022,FULFILLED,$665.97
ORD0066401,2037,1,04/06/2022,04/08/2022,FULFILLED,$941.22
ORD0026768,834,1,06/07/2022,06/08/2022,FULFILLED,$199.36
ORD0010897,1303,1,09/15/2022,09/19/2022,RETURNED,"$2,420.63"
ORD0050976,1261,1,04/12/2022,04/17/2022,FULFILLED,"$5,243.41"
ORD0015439,169,1,12/28/2022,01/02/2023,FULFILLED,"$2,099.64"
ORD0048082,575,1,08/03/2022,08/07/2022,FULFILLED,$388.75
ORD0007140,2323,1,08/26/2022,,CANCELLED,$71.46
ORD0021974,1850,1,06/28/2022,07/01/2022,FULFILLED,$223.61
ORD0009373,1555,1,03/07/2022,03/09/2022,FULFILLED,"$1,226.78"
ORD0032578,2268,1,11/02/2022,11/05/2022,FULFILLED,"$1,700.35"
ORD0003175,2392,1,08/15/2022,08/20/2022,FULFILLED,$512.08
ORD0030975,430,1,07/28/2022,07/30/2022,FULFILLED,$603.56
ORD0012124,1903,1,04/06/2022,04/11/2022,FULFILLED,"$2,266.61"
ORD0061822,1863,1,12/06/2022,12/09/2022,FULFILLED,$506.88
ORD0021657,1595,1,01/06/2022,01/09/2022,FULFILLED,"$1,157.72"
ORD0063627,1199,1,05/26/2022,05/31/2022,FULFILLED,$490.92
ORD0053465,947,1,09/04/2022,09/05/2022,FULFILLED,$429.77
ORD0060240,773,1,12/02/2022,12/06/2022,FULFILLED,$981.92
ORD0026385,1774,1,01/10/2022,01/13/2022,FULFILLED,$95.60
ORD0030986,806,1,03/04/2022,03/08/2022,FULFILLED,$396.99
ORD0001622,1088,1,06/29/2022,06/30/2022,FULFILLED,"$1,458.34"
ORD0003018,1163,1,01/01/2022,01/03/2022,FULFILLED,$458.01
ORD0059559,969,1,09/14/2022,09/16/2022,FULFILLED,"$4,036.32"
ORD0051035,616,1,11/29/2022,,CANCELLED,$618.00
ORD0007415,16,1,11/17/2022,11/21/2022,FULFILLED,$823.67
ORD0060404,981,1,12/05/2022,12/07/2022,FULFILLED,$20.50
ORD0013540,2108,1,08/07/2022,08/08/2022,FULFILLED,"$1,178.82"
ORD0038021,168,1,11/28/2022,12/02/2022,FULFILLED,$412.24
ORD0032245,1278,1,05/13/2022,05/18/2022,FULFILLED,"$1,402.01"
ORD0054150,2060,1,10/03/2022,10/04/2022,RETURNED,$164.96
ORD0068805,2334,1,11/17/2022,11/21/2022,FULFILLED,$758.33
ORD0005128,2419,1,05/02/2022,05/07/2022,FULFILLED,$435.78
ORD0038830,2379,1,06/07/2022,06/12/2022,FULFILLED,$595.66
ORD0015030,989,1,02/03/2022,02/07/2022,FULFILLED,$538.38
ORD0015689,1405,1,10/09/2022,10/13/2022,FULFILLED,$836.57
ORD0032829,806,1,12/25/2022,12/30/2022,FULFILLED,"$1,548.27"
ORD0038939,2439,1,09/03/2022,09/07/2022,RETURNED,$475.25
ORD0063566,652,1,04/09/2022,04/14/2022,FULFILLED,$145.80
ORD0008948,642,1,06/09/2022,06/10/2022,FULFILLED,"$1,055.89"
ORD0019306,2142,1,05/18/2022,05/19/2022,FULFILLED,$381.08
ORD0058038,7,1,07/28/2022,08/02/2022,FULFILLED,$332.95
ORD0059625,967,1,08/04/2022,08/07/2022,FULFILLED,$98.12
ORD0064125,1311,1,01/05/2022,01/06/2022,FULFILLED,$57.04
ORD0060963,2020,1,11/01/2022,11/05/2022,FULFILLED,$524.09
ORD0059248,486,1,09/05/2022,09/09/2022,FULFILLED,$698.63
ORD0060146,1099,1,08/15/2022,08/17/2022,FULFILLED,$471.30
ORD0067473,1590,1,03/18/2022,03/21/2022,FULFILLED,"$1,104.89"
ORD0059333,1320,1,07/25/2022,07/28/2022,FULFILLED,$286.44
ORD0011510,2180,1,12/13/2022,12/15/2022,RETURNED,$350.80
ORD0024873,1085,1,10/26/2022,,CANCELLED,$741.87
ORD0005206,899,1,09/15/2022,09/20/2022,FULFILLED,$286.01
ORD0061003,40,1,02/06/2022,02/08/2022,FULFILLED,$867.44
ORD0007165,1846,1,11/29/2022,12/01/2022,FULFILLED,"$2,068.12"
ORD0035932,1842,1,03/25/2022,03/27/2022,FULFILLED,$622.75
ORD0014656,1358,1,05/23/2022,05/28/2022,FULFILLED,$403.36
ORD0024113,291,1,07/07/2022,07/12/2022,FULFILLED,$600.88
ORD0009701,1081,1,05/30/2022,06/01/2022,FULFILLED,$602.75
ORD0010901,974,1,11/07/2022,11/12/2022,FULFILLED,$195.89
ORD0001410,887,1,03/28/2022,04/01/2022,FULFILLED,$310.93
ORD0039008,695,1,06/06/2022,06/11/2022,FULFILLED,$497.53
ORD0064499,557,1,12/28/2022,12/30/2022,FULFILLED,"$2,515.01"
ORD0038630,1557,1,03/21/2022,03/24/2022,FULFILLED,$36.32
ORD0017285,1082,1,03/04/2022,03/09/2022,RETURNED,$862.64
ORD0028112,1731,1,11/11/2022,11/16/2022,FULFILLED,"$2,255.70"
ORD0012324,886,1,09/07/2022,09/08/2022,FULFILLED,$62.37
ORD0065628,205,1,02/12/2022,02/17/2022,FULFILLED,$116.88
ORD0039324,180,1,09/14/2022,09/18/2022,FULFILLED,$139.05
ORD0043846,1000,1,12/06/2022,12/07/2022,FULFILLED,$524.14
ORD0005035,2325,1,01/30/2022,02/01/2022,FULFILLED,$495.79
ORD0011767,1945,1,12/26/2022,12/29/2022,RETURNED,$528.51
ORD0052998,1257,1,09/09/2022,09/12/2022,FULFILLED,"$1,096.25"
ORD0026029,1505,1,04/08/2022,04/09/2022,FULFILLED,$41.48
ORD0010881,2276,1,01/28/2022,01/30/2022,FULFILLED,$295.55
ORD0000541,1356,1,04/07/2022,04/11/2022,FULFILLED,$513.27
ORD0016914,77,1,09/09/2022,09/12/2022,FULFILLED,$98.29
ORD0020104,312,1,03/03/2022,03/08/2022,FULFILLED,"$2,461.27"
ORD0000140,733,1,11/17/2022,11/22/2022,FULFILLED,"$2,429.87"
ORD0019817,1848,1,10/21/2022,10/22/2022,FULFILLED,$546.82
ORD0048186,1935,1,04/06/2022,04/11/2022,FULFILLED,$199.04
ORD0067682,302,1,10/31/2022,11/03/2022,FULFILLED,"$2,291.45"
ORD0001954,2307,1,11/22/2022,11/24/2022,FULFILLED,$776.32
ORD0064758,612,1,01/11/2022,01/13/2022,FULFILLED,$922.21
ORD0028343,1506,1,05/17/2022,05/22/2022,FULFILLED,$695.07
ORD0065840,903,1,03/09/2022,03/14/2022,FULFILLED,$655.26
ORD0042923,77,1,03/15/2022,,CANCELLED,"$1,639.44"
ORD0032004,923,1,11/14/2022,11/15/2022,FULFILLED,$557.19
ORD0055308,251,1,08/22/2022,08/25/2022,FULFILLED,$168.84
ORD0004187,671,1,10/05/2022,10/08/2022,FULFILLED,"$1,568.90"
ORD0016590,1124,1,02/16/2022,02/20/2022,FULFILLED,$785.68
ORD0038325,1666,1,10/06/2022,10/07/2022,RETURNED,$864.80
ORD0061198,955,1,11/15/2022,11/17/2022,FULFILLED,"$1,015.08"
ORD0001813,1274,1,12/20/2022,12/22/2022,FULFILLED,$443.19
ORD0015033,1421,1,08/17/2022,08/18/2022,FULFILLED,$402.15
ORD0037744,2411,1,08/05/2022,08/09/2022,FULFILLED,$761.55
ORD0003155,1879,1,04/21/2022,04/24/2022,FULFILLED,"$2,877.05"
ORD0066362,972,1,10/12/2022,10/15/2022,FULFILLED,"$1,574.12"
ORD0066386,488,1,11/24/2022,11/28/2022,FULFILLED,"$3,659.37"
ORD0040863,2269,1,01/04/2022,01/06/2022,FULFILLED,$544.98
ORD0032273,1348,1,05/19/2022,05/22/2022,FULFILLED,$407.94
ORD0010958,1431,1,10/25/2022,10/26/2022,FULFILLED,$918.44
ORD0044438,2031,1,06/14/2022,06/18/2022,FULFILLED,$726.05
ORD0014712,1105,1,06/01/2022,06/02/2022,FULFILLED,$383.90
ORD0062976,1027,1,12/01/2022,12/06/2022,FULFILLED,$440.44
ORD0045189,713,1,01/20/2022,01/23/2022,FULFILLED,$351.91
ORD0025003,1975,1,10/12/2022,10/17/2022,FULFILLED,$923.72
ORD0034157,2144,1,09/13/2022,09/18/2022,FULFILLED,"$1,929.98"
ORD0025168,134,1,02/18/2022,02/23/2022,FULFILLED,$220.72
ORD0029316,1929,1,03/16/2022,03/18/2022,FULFILLED,$573.12
ORD0066189,661,1,05/10/2022,05/12/2022,FULFILLED,$301.74
ORD0026705,1799,1,04/16/2022,04/17/2022,FULFILLED,$478.41
ORD0018091,1663,1,03/28/2022,03/30/2022,FULFILLED,$762.33
ORD0040313,854,1,03/15/2022,03/19/2022,FULFILLED,"$1,546.19"
ORD0050635,2250,1,10/18/2022,10/20/2022,FULFILLED,$124.33
ORD0003901,1431,1,07/28/2022,08/02/2022,FULFILLED,$92.40
ORD0041919,1757,1,06/22/2022,06/24/2022,FULFILLED,"$1,529.72"
ORD0055034,1423,1,02/25/2022,02/28/2022,FULFILLED,$125.40
ORD0055206,908,1,04/06/2022,04/09/2022,FULFILLED,"$1,274.24"
ORD0030261,40,1,06/11/2022,06/13/2022,FULFILLED,"$1,818.39"
ORD0012024,1184,1,03/25/2022,03/27/2022,FULFILLED,$321.06
ORD0007777,830,1,10/13/2022,10/15/2022,FULFILLED,"$1,609.69"
ORD0068337,577,1,06/22/2022,06/23/2022,FULFILLED,$811.13
ORD0067518,1193,1,12/29/2022,01/01/2023,FULFILLED,"$1,809.79"
ORD0068055,106,1,05/06/2022,05/09/2022,FULFILLED,$202.38
ORD0022701,59,1,05/03/2022,05/04/2022,FULFILLED,"$2,715.16"
ORD0030517,572,1,03/25/2022,03/27/2022,FULFILLED,"$1,357.54"
ORD0025743,1708,1,04/11/2022,04/14/2022,FULFILLED,"$1,025.58"
ORD0027107,76,1,05/03/2022,05/06/2022,FULFILLED,"$1,234.99"
ORD0034982,1145,1,01/07/2022,,CANCELLED,"$1,794.50"
ORD0037323,1235,1,03/14/2022,03/18/2022,FULFILLED,$428.16
ORD0053556,1866,1,05/09/2022,05/10/2022,FULFILLED,$444.90
ORD0066472,327,1,12/13/2022,12/17/2022,FULFILLED,$506.81
ORD0021004,386,1,11/19/2022,11/20/2022,FULFILLED,$264.10
ORD0017317,1899,1,02/28/2022,03/01/2022,RETURNED,$107.83
ORD0020931,2082,1,03/09/2022,03/10/2022,FULFILLED,$120.52
ORD0059854,2483,1,07/15/2022,07/16/2022,FULFILLED,$421.71
ORD0006939,1928,1,05/31/2022,06/01/2022,FULFILLED,$425.22
ORD0048133,1445,1,12/21/2022,12/25/2022,FULFILLED,$283.15
ORD0034300,389,1,08/28/2022,08/31/2022,FULFILLED,$765.50
ORD0050842,2144,1,07/20/2022,07/25/2022,RETURNED,"$1,555.01"
ORD0071229,910,1,12/08/2022,12/09/2022,RETURNED,$728.15
ORD0042232,1287,1,07/14/2022,07/16/2022,FULFILLED,"$1,281.15"
ORD0044430,722,1,08/20/2022,08/21/2022,FULFILLED,"$4,594.79"
ORD0071640,128,1,05/23/2022,05/28/2022,FULFILLED,$258.76
ORD0063000,2263,1,07/28/2022,08/01/2022,FULFILLED,$899.44
ORD0037987,666,1,11/15/2022,11/17/2022,FULFILLED,$830.84
ORD0004736,1037,1,04/20/2022,04/22/2022,FULFILLED,$695.03
ORD0044515,749,1,04/28/2022,05/01/2022,FULFILLED,"$2,670.81"
ORD0065421,1968,1,05/02/2022,05/03/2022,FULFILLED,$208.48
ORD0047602,195,1,02/08/2022,02/10/2022,FULFILLED,$441.67
ORD0045620,1173,1,12/23/2022,12/27/2022,FULFILLED,$266.46
ORD0037758,386,1,05/02/2022,,CANCELLED,$547.73
ORD0032052,376,1,09/13/2022,09/16/2022,FULFILLED,$510.72
ORD0001733,1278,1,03/21/2022,03/26/2022,FULFILLED,"$1,167.73"
ORD0001403,1064,1,08/10/2022,08/11/2022,FULFILLED,$692.85
ORD0029560,253,1,06/23/2022,06/26/2022,FULFILLED,$874.35
ORD0019089,1659,1,03/02/2022,03/06/2022,FULFILLED,$960.76
ORD0029038,1811,1,09/02/2022,09/05/2022,FULFILLED,$471.45
ORD0053286,2302,1,01/20/2022,01/21/2022,FULFILLED,"$3,089.12"
ORD0011775,1288,1,11/11/2022,11/15/2022,FULFILLED,"$1,314.56"
ORD0000497,442,1,10/18/2022,10/21/2022,FULFILLED,$492.28
ORD0056496,1857,1,05/18/2022,05/20/2022,FULFILLED,"$1,449.33"
ORD0063928,1818,1,08/27/2022,08/29/2022,FULFILLED,$448.51
ORD0052833,18,1,04/11/2022,04/12/2022,FULFILLED,"$1,400.76"
ORD0010783,1150,1,02/24/2022,02/25/2022,FULFILLED,$108.18
ORD0058429,2030,1,08/10/2022,08/13/2022,RETURNED,"$1,530.89"
ORD0054544,193,1,02/09/2022,02/10/2022,FULFILLED,"$1,174.49"
ORD0030079,356,1,11/02/2022,11/05/2022,FULFILLED,$109.06
ORD0017049,2302,1,10/10/2022,10/14/2022,FULFILLED,$533.01
ORD0065701,1771,1,11/17/2022,11/20/2022,FULFILLED,$652.78
ORD0054388,2120,1,06/03/2022,06/06/2022,FULFILLED,$693.65
ORD0058419,287,1,05/08/2022,05/09/2022,FULFILLED,"$1,883.32"
ORD0044195,1099,1,02/13/2022,02/18/2022,FULFILLED,"$1,034.68"
ORD0007083,1323,1,10/25/2022,10/30/2022,FULFILLED,$285.64
ORD0024298,1969,1,01/18/2022,01/23/2022,RETURNED,$99.12
ORD0052655,1254,1,03/06/2022,,CANCELLED,$98.91
ORD0021659,288,1,07/10/2022,07/11/2022,FULFILLED,"$1,734.01"
ORD0047560,2042,1,12/26/2022,12/29/2022,FULFILLED,$219.84
ORD0062658,2373,1,05/05/2022,05/07/2022,FULFILLED,"$1,265.12"
ORD0041166,547,1,03/30/2022,04/03/2022,FULFILLED,$220.29
ORD0019597,2010,1,12/28/2022,01/01/2023,FULFILLED,$895.43
ORD0056690,2394,1,03/08/2022,03/10/2022,FULFILLED,"$1,428.81"
ORD0067996,1972,1,07/06/2022,07/08/2022,FULFILLED,"$1,905.92"
ORD0036317,1471,1,12/12/2022,12/14/2022,FULFILLED,$353.86
ORD0060542,610,1,01/25/2022,01/29/2022,FULFILLED,"$3,409.31"
ORD0060387,2309,1,09/28/2022,10/01/2022,FULFILLED,$148.29
ORD0021095,420,1,11/07/2022,11/12/2022,FULFILLED,"$1,189.11"
ORD0033621,460,1,12/29/2022,12/31/2022,FULFILLED,$460.30
ORD0052747,996,1,03/16/2022,03/20/2022,FULFILLED,$395.30
ORD0021157,2054,1,08/24/2022,08/29/2022,FULFILLED,$971.26
ORD0038545,449,1,04/30/2022,05/02/2022,FULFILLED,$857.31
ORD0027176,505,1,01/13/2022,01/15/2022,FULFILLED,$431.97
ORD0066074,989,1,09/06/2022,09/09/2022,FULFILLED,"$2,403.55"
ORD0005588,1794,1,09/22/2022,09/25/2022,FULFILLED,$744.11
ORD0027436,1061,1,07/18/2022,07/21/2022,FULFILLED,$572.63
ORD0050364,998,1,02/11/2022,02/15/2022,FULFILLED,$350.56
ORD0057507,2258,1,05/24/2022,05/25/2022,FULFILLED,"$1,725.00"
ORD0027953,1232,1,03/09/2022,03/14/2022,FULFILLED,$247.21
ORD0041559,2015,1,11/05/2022,,CANCELLED,"$1,959.70"
ORD0033443,1867,1,07/20/2022,07/21/2022,FULFILLED,$626.45
ORD0004848,1653,1,01/31/2022,02/01/2022,FULFILLED,"$2,238.20"
ORD0038472,1799,1,04/15/2022,04/20/2022,FULFILLED,$313.50
ORD0035845,731,1,07/10/2022,07/11/2022,FULFILLED,$676.97
ORD0007657,1788,1,09/09/2022,09/14/2022,FULFILLED,$869.00
ORD0042741,930,1,08/25/2022,08/29/2022,FULFILLED,$444.68
ORD0029365,1773,1,08/12/2022,08/17/2022,FULFILLED,$666.85
ORD0004473,2080,1,12/27/2022,12/31/2022,FULFILLED,"$1,118.20"
ORD0003085,913,1,07/23/2022,07/26/2022,FULFILLED,$281.97
ORD0058501,917,1,03/25/2022,03/27/2022,FULFILLED,$891.55
ORD0030326,47,1,02/28/2022,03/03/2022,FULFILLED,$587.59
ORD0063365,355,1,09/07/2022,09/08/2022,FULFILLED,"$1,383.63"
ORD0063640,2179,1,06/27/2022,06/29/2022,FULFILLED,$205.24
ORD0043996,881,1,12/01/2022,12/06/2022,FULFILLED,"$1,704.41"
ORD0047367,1980,1,12/01/2022,12/02/2022,FULFILLED,$285.96
ORD0056062,981,1,06/11/2022,06/16/2022,FULFILLED,$575.49
ORD0065758,2375,1,08/06/2022,08/08/2022,FULFILLED,"$1,536.26"
ORD0041283,92,1,10/20/2022,10/22/2022,FULFILLED,"$1,288.54"
ORD0034855,1416,1,08/03/2022,08/07/2022,FULFILLED,$225.76
ORD0025804,2429,1,05/03/2022,05/04/2022,FULFILLED,$884.85
ORD0014563,1977,1,07/22/2022,07/27/2022,FULFILLED,$487.53
ORD0061111,2209,1,04/22/2022,04/27/2022,FULFILLED,"$1,307.28"
ORD0012049,64,1,09/17/2022,09/18/2022,FULFILLED,"$1,059.56"
ORD0010735,77,1,06/20/2022,06/25/2022,FULFILLED,$389.88
ORD0002159,1793,1,12/06/2022,12/07/2022,FULFILLED,$74.40
ORD0006557,912,1,05/25/2022,05/27/2022,RETURNED,$974.88
ORD0011701,1359,1,04/27/2022,04/28/2022,FULFILLED,$762.91
ORD0001314,615,1,02/23/2022,02/26/2022,FULFILLED,$881.83
ORD0055933,1378,1,05/14/2022,05/15/2022,FULFILLED,$86.58
ORD0033052,2454,1,02/23/2022,02/25/2022,FULFILLED,$178.92
ORD0061370,1701,1,10/10/2022,10/13/2022,FULFILLED,$238.40
ORD0039534,713,1,08/17/2022,08/20/2022,FULFILLED,$641.40
ORD0037175,770,1,09/21/2022,09/22/2022,FULFILLED,$505.96
ORD0062252,1553,1,11/27/2022,11/29/2022,FULFILLED,$791.80
ORD0041387,2409,1,05/24/2022,05/25/2022,FULFILLED,$482.10
ORD0049152,1283,1,11/14/2022,11/17/2022,RETURNED,$232.96
ORD0060376,2118,1,05/17/2022,05/20/2022,FULFILLED,$924.73
ORD0045329,357,1,12/01/2022,12/03/2022,FULFILLED,"$1,101.88"
ORD0002670,177,1,11/15/2022,11/20/2022,FULFILLED,"$1,100.80"
ORD0029882,1682,1,03/07/2022,03/10/2022,FULFILLED,$596.57
ORD0014790,2196,1,06/13/2022,06/17/2022,FULFILLED,"$1,691.38"
ORD0053484,2,1,03/01/2022,03/04/2022,FULFILLED,$191.60
ORD0065811,578,1,03/31/2022,04/05/2022,FULFILLED,$766.11
ORD0063259,296,1,03/22/2022,03/27/2022,FULFILLED,$525.48
ORD0058602,596,1,10/20/2022,10/25/2022,FULFILLED,$389.53
ORD0053415,2052,1,01/29/2022,02/03/2022,RETURNED,"$2,110.47"
ORD0062430,577,1,02/18/2022,02/23/2022,FULFILLED,"$1,489.77"
ORD0056647,694,1,03/19/2022,03/24/2022,FULFILLED,$491.10
ORD0054287,149,1,05/02/2022,05/06/2022,FULFILLED,$229.18
ORD0056615,2333,1,06/27/2022,07/02/2022,FULFILLED,$735.57
ORD0070078,1005,1,09/18/2022,09/22/2022,FULFILLED,$199.31
ORD0031832,460,1,08/22/2022,08/27/2022,FULFILLED,$220.22
ORD0040181,1154,1,09/30/2022,10/02/2022,FULFILLED,$94.55
ORD0013682,1183,1,12/21/2022,12/26/2022,RETURNED,$168.75
ORD0030921,907,1,09/30/2022,10/05/2022,FULFILLED,$564.42
ORD0020507,1856,1,11/06/2022,11/08/2022,FULFILLED,$181.53
ORD0032115,2442,1,05/23/2022,05/28/2022,FULFILLED,$546.75
ORD0067746,492,1,11/22/2022,,CANCELLED,$393.84
ORD0036409,1249,1,08/22/2022,08/26/2022,FULFILLED,$275.94
ORD0032707,1583,1,08/26/2022,08/28/2022,FULFILLED,$953.16
ORD0011037,1093,1,03/09/2022,03/11/2022,FULFILLED,$981.08
ORD0071773,503,1,01/14/2022,01/17/2022,FULFILLED,$79.20
ORD0045007,468,1,06/17/2022,06/20/2022,FULFILLED,"$2,692.91"
ORD0063175,1991,1,03/13/2022,03/14/2022,FULFILLED,$817.02
ORD0016131,14,1,01/07/2022,01/09/2022,RETURNED,$833.56
ORD0007387,1823,1,02/21/2022,,CANCELLED,$511.24
ORD0007599,1028,1,06/23/2022,06/25/2022,FULFILLED,$943.98
ORD0042374,1851,1,02/07/2022,02/09/2022,FULFILLED,"$1,007.90"
ORD0042594,1623,1,09/14/2022,09/16/2022,FULFILLED,$730.26
ORD0018133,867,1,09/30/2022,10/05/2022,FULFILLED,$651.47
ORD0031840,921,1,11/09/2022,11/12/2022,FULFILLED,"$1,861.56"
ORD0055518,2401,1,03/30/2022,03/31/2022,FULFILLED,"$1,156.39"
ORD0055033,352,1,02/25/2022,02/26/2022,FULFILLED,$959.58
ORD0052708,1850,1,08/31/2022,09/03/2022,FULFILLED,$899.19
ORD0061119,2412,1,11/29/2022,11/30/2022,FULFILLED,$255.85
ORD0006103,2447,1,12/13/2022,12/17/2022,RETURNED,$486.91
